workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,problem_date,action,cluster_id,cluster_name
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,ENGINE REQUIRES REMOVAL & INSPECTION FOR SERVICEABILITY.,2013-06-13,REMOVED BAFFLING & FUEL LINES FROM ENGINE. REMOVED CYLINDERS 1 - 4.,c_23,engine need repair/reinstall/clean
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,ENGINE REQUIRES REMOVAL & INSPECTION FOR SERVICEABILITY.,2013-06-17,"HONED CYLINDERS TO REMOVE SURFACE CORROSION, INSPECTED, MEASURED BORES, FOUND TO BE SERVICEABLE. INSPECTED & REAMED EXHAUST VALVE GUIDES IAW SI 1425A. REASSEMBLED CYL.",c_15,cylinder exhaust valve/stuck valve issue
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,ENGINE REQUIRES REMOVAL & INSPECTION FOR SERVICEABILITY.,2013-06-19,"CLEANED PISTONS, FITTED RINGS TO CYLINDER & PISTONS. REASSEMBLED PISTONS.",c_21,engine failure/fire/time out
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,ENGINE REQUIRES REMOVAL & INSPECTION FOR SERVICEABILITY.,2013-06-20,INSTALLED CYLINDERS & TORQUED TO ENGINE.,c_21,engine failure/fire/time out
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,ENGINE REQUIRES REMOVAL & INSPECTION FOR SERVICEABILITY.,2013-06-20,CHECKED DRY TAPPET CLEARANCE & REINSTALLED VALVE TRAIN.,c_21,engine failure/fire/time out
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,ENGINE REQUIRES REMOVAL & INSPECTION FOR SERVICEABILITY.,2013-06-21,INSTALLED INTAKE TUBES & OIL DRAIN BACK LINES. CLEANED ENGINE.,c_29,intake tube/bolt/seal/boot loose or damage
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,"ENGINE CANNED FOR N7364H, CAN TAG #1633.",2013-06-25,REMOVED ENGINE & FOUND TO BE SERVICEABLE.,c_21,engine failure/fire/time out
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7400,"MAGNETO CANNED FOR USE ON N7364H, CAN TAG #1639.",2013-06-25,"REMOVED, INSPECTED, FOUND SERVICEABLE.",c_30,magneto failure
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7400,"MAGNETO CANNED FOR USE ON N7364H, CAN TAG #1640.",2013-06-25,"REMOVED, INSPECTED, FOUND SERVICEABLE.",c_30,magneto failure
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,9640,"STARTER CANNED FOR USE ON N7364H, CAN TAG #1635.",2013-06-25,"REMOVED, INSPECTED, FOUND SERVICEABLE.",c_1,aircraft start/external issue
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7920,"OIL COOLER CANNED FOR USE ON N7364H, CAN TAG #1636.",2013-06-25,"REMOVED, INSPECTED, FOUND SERVICEABLE.",c_32,oil cooler need maintenance
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7920,"OIL COOLER CANNED FOR USE ON N7364H, CAN TAG #1637.",2013-06-25,"REMOVED, INSPECTED, FOUND SERVICEABLE.",c_32,oil cooler need maintenance
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7900,"OIL LINE CANNED FOR USE ON N7364H, CAN TAG #1643 (P/N 156005-10D0460).",2013-06-25,"REMOVED, INSPECTED, FOUND SERVICEABLE.",c_35,oil return line issue
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7900,"OIL LINE CANNED FOR USE ON N7364H, CAN TAG #1641 (P/N 156115E0410D180).",2013-06-25,"REMOVED, INSPECTED, FOUND SERVICEABLE.",c_35,oil return line issue
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7900,"OIL LINE CANNED FOR USE ON N7364H, CAN TAG #1642 (P/N 156062E0380D340).",2013-06-25,"REMOVED, INSPECTED, FOUND SERVICEABLE.",c_35,oil return line issue
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7900,"OIL LINE CANNED FOR USE ON N7364H, CAN TAG #1645 (P/N 156062F0376D270).",2013-06-25,"REMOVED, INSPECTED, FOUND SERVICEABLE.",c_35,oil return line issue
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,2820,"FLUID LINE CANNED FOR USE ON N7364HD, CAN TAG #1647 (P/N 156001-8D0124).",2013-06-25,"REMOVED, INSPECTED, FOUND SERVICEABLE.",c_18,drain line/tube damage
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,2820,"FLUID LINE CANNED FOR USE ON N7364HD, CAN TAG #1648 (P/N 156001-4S0096).",2013-06-25,"REMOVED, INSPECTED, FOUND SERVICEABLE.",c_18,drain line/tube damage
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,2820,"FLUID LINE CANNED FOR USE ON N7364HD, CAN TAG #1649 (P/N 156001-4S0096).",2013-06-25,"REMOVED, INSPECTED, FOUND SERVICEABLE.",c_18,drain line/tube damage
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,2820,"FLUID LINE CANNED FOR USE ON N7364HD, CAN TAG # 1650 (P/N 156003-8D0070).",2013-06-25,"REMOVED, INSPECTED, FOUND SERVICEABLE.",c_18,drain line/tube damage
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,2820,"FLUID LINE CANNED FOR USE ON N7364HD, CAN TAG #1646 (P/N 156115E0260D290).",2013-06-25,"REMOVED, INSPECTED, FOUND SERVICEABLE.",c_18,drain line/tube damage
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,9530,"MANIFOLD LINE CANNED FUR USE ON N7364H, CAN TAG #1644 (P/N 156001-4S0170).",2013-06-25,"REMOVED, INSPECTED, FOUND SERVICEABLE.",c_18,drain line/tube damage
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,2810,FUEL TANKS NEED TO BE REMOVED TO FACILITATE OTHER MAINTENANCE.,2013-07-25,"DRAINED FUEL, REMOVED TANKS & CAPPED LINES.",c_32,oil cooler need maintenance
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,"ENGINE CANNED FOR N7364H, CAN TAG #1633.",2013-10-08,BEGAN BUILD UP OF ENGINE.,c_21,engine failure/fire/time out
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,"ENGINE CANNED FOR N7364H, CAN TAG #1633.",2013-10-08,REMOVED EXHAUST VALVE GUIDES OF REPLACEMENT ENGINE IAW SB UND15 (S/N L-10947-51A).,c_15,cylinder exhaust valve/stuck valve issue
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,"ENGINE CANNED FOR N7364H, CAN TAG #1633.",2013-10-09,CONTINUED ENGINE BUILD UP.,c_21,engine failure/fire/time out
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,"ENGINE CANNED FOR N7364H, CAN TAG #1633.",2013-10-14,CONTINUED ENGINE BUILD UP.,c_21,engine failure/fire/time out
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,9640,"STARTER CANNED FOR USE ON N7364H, CAN TAG #1635.",2013-12-12,INSTALLED STARTER S/N F4C-441009.,c_1,aircraft start/external issue
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,ENGINE REQUIRES REMOVAL & INSPECTION FOR SERVICEABILITY.,2013-12-12,ENGINE WAS CANNED ON PD #17.,c_21,engine failure/fire/time out
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7100,"ENGINE CANNED FOR N7364H, CAN TAG #1633.",2013-12-12,RECEIVED ENG S/N L2392851A FROM INVENTORY. COMPLETED ENGINE BUILD UP. BEGAN ROUTING OF ENG LEADS.,c_21,engine failure/fire/time out
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7400,"MAGNETO CANNED FOR USE ON N7364H, CAN TAG #1639.",2013-12-12,CANNED MAG S/N 10010828 WAS REMOVED FROM ENG ASSY THAT WAS THEN CANNED ON PD #17. NEW MAG WAS INSTALLED ON A/C AS PART OF NEW ENG ASSY INSTALLED ON PD #17.,c_30,magneto failure
1111880,2012-06-13 13:05,2014-01-17 09:38,N1675U,6981.7,7400,"MAGNETO CANNED FOR USE ON N7364H, CAN TAG #1640.",2013-12-12,CANNED MAG S/N 10010830 WAS REMOVED FROM ENG ASSY THAT WAS THEN CANNED ON PD #17. NEW MAG WAS INSTALLED ON A/C AS PART OF NEW ENG ASSY INSTALLED ON PD #17.,c_30,magneto failure
