workorder,date_time_opened,date_time_closed,registration,total_time,ata_code,problem,date,action,cluster,cluster_name
1116588,2012-10-21 10:52:00,2012-10-22 15:27:00,N557ND,6494.2,7200.0,NORMAL COLD ENGINE START PROPER LEAN & NORMAL TAXI. ENGINE FAILED AS STARTED TURN OFF OF RAMP.,2012-10-22,REPLACED FUEL SERVO W/ S/N 70DB1303. REPLACED L/H & R/H MAGNETOS ON PD 2 & 3. ADJUSTED MIXTURE & IDLE SETTINGS. ENGINE RUN UP & LEAK CHECK GOOD.,c_31,mixture adjust mixture control
1116588,2012-10-21 10:52:00,2012-10-22 15:27:00,N557ND,6494.2,400.0,"AD 2001-06-17, IMPROPER FUEL FLOW SETTINGS CHECK DUE. EFF DATE 4/20/01.",2012-10-22,ADJUSTED MIXTURE & IDLE SETTINGS. NEXT DUE @ 2527.4 TACH.,c_31,mixture adjust mixture control
1116709,2012-10-24 13:23:00,2012-10-24 14:57:00,N570ND,7001.299999999999,7410.0,"ON RUN UP, L/H MAG DROP OF 300 RPM. BURN OFF ATTEMPT FAILED.",2012-10-24,"RAN A/C, LEANED MIXTURE TO CLEAR PLUGS - ATTEMPT UNSUCCESSFUL. NOTED #1 CYL EGT DROPPED. CLEANED BOTH PLUGS FROM #1 CYL. TESTED LEADS, TEST GOOD. REINSTALLED PLUGS & LEADS. MAG CK GOOD.",c_31,mixture adjust mixture control
1116797,2012-10-27 09:45:00,2012-10-27 13:41:00,N525ND,7136.8,7410.0,"WHEN SWITCHING TO L/H MAG, RPM DROPS FROM 1800 TO 1580.",2012-10-27,"RAN A/C, LEANED MIXTURE TO CLEAN FOULING FROM PLUGS, OPS CK GOOD.",c_31,mixture adjust mixture control
1117123,2012-11-05 15:37:00,2012-11-06 11:02:00,N522ND,10888.8,7200.0,"#2 CYL ""MISSING"" ON RUN UP (RUNS ROUGH).",2012-11-06,"RAN, OPS OK. NO ROUGHNESS. EGT - CHT - STATIC RPM - IDLE SPEED & MIXTURE OK.",c_31,mixture adjust mixture control
1117229,2012-11-09 07:01:00,2012-11-09 13:54:00,N558ND,7325.3,400.0,"AD 2001-06-17, IMPROPER FUEL FLOW DUE. EFF DATE 4/20/01.",2012-11-09,"C/W AD BY CK'ING IDLE & MIXTURE RISE - OK, W/IN LIMITS. NEXT DUE @ NEXT SERVO ADJUSTMENT.",c_31,mixture adjust mixture control
1117356,2012-11-14 11:39:00,2012-11-14 12:56:00,N568ND,6336.9,7100.0,ENGINE SHUT DOWN WHEN CHECKING IDLE.,2012-11-14,RAN A/C & ADJUSTED IDLE MIXTURE & RPM FOR OUTSIDE SEASONAL TEMPERATURE. OPS CHECK GOOD.,c_31,mixture adjust mixture control
1117479,2012-11-16 10:06:00,2012-11-16 15:29:00,N538ND,6196.6,7410.0,"AFTER LANDING, ENG RAN A LITTLE ROUGH. INCREASED POWER CAUSING ENG TO FAIL. RESTARTED, SEEMED TO BE RELATED TO TEMP & STUDENT TECHNIQUE SO CONTINUED FLIGHT. LAST LANDING, SAME THING HAPPENED BUT COULD NOT RESTART.",2012-11-16,"OPERATED ENGINE, CK'ED IDLE MIXTURE & IDLE RPM NOTING NO DISCREP. PERFORMED IDLE RPM MAG CK NOTING ENG DOES NOT CONTINUE TO RUN. REMOVED & REPLACED R/H MAG W/ S/N 11081101. OPS/LK CK GOOD. SEE PD #2 FOR LEFT MAG. IDLE OPS CK GOOD.",c_31,mixture adjust mixture control
1117657,2012-11-21 07:03:00,2012-11-21 09:51:00,N564ND,7549.299999999999,7600.0,MIXTURE STICKY.,2012-11-21,CLEANED LUBE MIXTURE CABLE.,c_31,mixture adjust mixture control
1117737,2012-11-26 12:58:00,2012-11-27 14:43:00,N563ND,7558.3,7410.0,BAD MAG DROP.,2012-11-27,"RAN A/C, ADJUSTED MIXTURE & IDLE RPM. OPS CK GOOD.",c_31,mixture adjust mixture control
