workorder,open,close,tail,airframe,ata,label,label_id,cleaned_problem,original_problem,date,ata2,original_action
1159925,12/22/16,1/13/17,N523ND,C172,7230,rocker cover leak/loose/damage,c_37,#4 CYL ROCKER ARM & PUSH ROD GALLED ON EXHAUST SIDE.,#4 CYL ROCKER ARM & PUSH ROD GALLED ON EXHAUST SIDE.,1/13/17,7230,REMOVED & REPLACED ROCKER ARM & PUSH ROD.
1159925,12/22/16,1/13/17,N523ND,C172,7200,engine run rough,c_24,ENGINE RUNNING VERY ROUGH & SHAKING AFTER START UP.,ENGINE RUNNING VERY ROUGH & SHAKING AFTER START UP.,1/13/17,7220,"INSTALLED ROCKER COVERS & CLEANED. RAN A/C, LEAK & OPS"
1159925,12/22/16,1/13/17,N523ND,C172,7200,engine run rough,c_24,ENGINE RUNNING VERY ROUGH & SHAKING AFTER START UP.,ENGINE RUNNING VERY ROUGH & SHAKING AFTER START UP.,10/1/17,7220,RAN A/C & ENGINE RAN ROUGH. #2 CYL EGT LOW. DISASSEMBLE
1159925,12/22/16,1/13/17,N523ND,C172,7200,engine run rough,c_24,ENGINE RUNNING VERY ROUGH & SHAKING AFTER START UP.,ENGINE RUNNING VERY ROUGH & SHAKING AFTER START UP.,9/1/17,7230,"C/W AD E 2015-19-07, FUEL INJ LINE FAILURE INSP (REV DA"
1159925,12/22/16,1/13/17,N523ND,C172,7200,engine run rough,c_24,ENGINE RUNNING VERY ROUGH & SHAKING AFTER START UP.,ENGINE RUNNING VERY ROUGH & SHAKING AFTER START UP.,9/1/17,7230,RAN ENGINE TO WARM CYLINDERS. PERFORMED COMPRESSION CK.
1159925,12/22/16,1/13/17,N523ND,C172,7200,engine run rough,c_24,ENGINE RUNNING VERY ROUGH & SHAKING AFTER START UP.,ENGINE RUNNING VERY ROUGH & SHAKING AFTER START UP.,12/22/16,7230,RAN ENGINE & VERIFIED DISCREPANCY. THERE IS LIKELY A ST
1159929,12/22/16,11/1/17,N2161J,H30G,580,engine run rough,c_24,MX FLIGHT REQUIRED TO CK FOR ABNORMAL ENGINE ROUGHNESS IN FL,MX FLIGHT REQUIRED TO CK FOR ABNORMAL ENGINE ROUGHNESS IN FL,6/1/17,7230,COMPLETED CYLINDER #4 & BAFFLE INSTLLATION.
1159929,12/22/16,11/1/17,N2161J,H30G,580,engine run rough,c_24,MX FLIGHT REQUIRED TO CK FOR ABNORMAL ENGINE ROUGHNESS IN FL,MX FLIGHT REQUIRED TO CK FOR ABNORMAL ENGINE ROUGHNESS IN FL,12/27/16,7230,"REAMED EXHAUST VALVE GUIDES ON CYLS 1, 2 & 3."
1159929,12/22/16,11/1/17,N2161J,H30G,580,engine run rough,c_24,MX FLIGHT REQUIRED TO CK FOR ABNORMAL ENGINE ROUGHNESS IN FL,MX FLIGHT REQUIRED TO CK FOR ABNORMAL ENGINE ROUGHNESS IN FL,12/28/16,7230,ASSEMBLED BAFFLE & ROCKER COVERS ON CYL 1 & 3. REMOVED
1159929,12/22/16,11/1/17,N2161J,H30G,580,engine run rough,c_24,MX FLIGHT REQUIRED TO CK FOR ABNORMAL ENGINE ROUGHNESS IN FL,MX FLIGHT REQUIRED TO CK FOR ABNORMAL ENGINE ROUGHNESS IN FL,12/23/16,7230,"STARTED REMOVING SPARK PLUGS, SIDE BAFFLES, ROCKER COVE"
