Runways.1,50009.*A,05/23,51.87833888891221,-176.65749444470399,51.88882499994294,-176.62746111113248
Runways.2,50009.*A,18/36,51.88270277794735,-176.64786111102308,51.86196111123591,-176.65102777750246
Runways.3,50016.1*A,04/22,56.93657666648513,-154.1899133331029,56.94055055556565,-154.1760841663593
Runways.4,50017.*A,01/19,60.90976944431881,-161.49745833356167,60.91785000018322,-161.4891999998822
Runways.5,50017.1*C,E/W
Runways.6,50017.1*C,NW/SE
Runways.7,50020.*A,03/21,60.89991194452078,-161.2371513891667,60.90588138899523,-161.22401638927064
Runways.8,50022.*C,E/W
Runways.9,50022.1*A,09/27,54.14554444457598,-165.61448055522362,54.14367777762491,-165.59373333311953
Runways.10,50024.1*A,16/34,62.68851861122353,-164.72213255585598,62.67757986127094,-164.72227311075693
Runways.11,50027.51*A,11/29
Runways.12,50027.51*A,18/36
Runways.13,50027.52*C,E/W
Runways.14,50027.53*A,15/33,59.2852305557266,-158.61933055542636,59.27988055560113,-158.6164055555213
Runways.15,50027.6*A,03/21
Runways.16,50027.6*A,09/27
Runways.17,50029.1*A,05/23,66.55030280573139,-152.63534405537087,66.55336186109658,-152.6089923888379
Runways.18,50029.61*A,09/27,67.10944886116788,-157.86804577767515,67.10692616671237,-157.85246772222735
Runways.19,50029.61*A,18/36,67.10878105569316,-157.85126447202342,67.10120047227132,-157.85936175034885
Runways.20,50031.*A,02/20
Runways.21,50031.5*C,N/S
Runways.22,50032.*A,02/20,68.12845669461048,-151.75425183332553,68.13874127763204,-151.73242277820964
Runways.23,50033.*A,02/20
Runways.24,50033.01*H,H1
Runways.25,50033.02*A,06/24
Runways.26,50033.02*A,07W/25W
Runways.27,50033.03*H,H1
Runways.28,50033.1*H,H1
Runways.29,50033.12*A,01/19
Runways.30,50033.2*H,H1
Runways.31,50033.21*A,09/27
Runways.32,50033.4*A,13/31
Runways.33,50033.5*A,14/32
Runways.34,50033.6*H,H1
Runways.35,50034.*A,07L/25R,61.169764972087066,-150.0083332775092,61.169811166585355,-149.94830072209254
Runways.36,50034.*A,07R/25L,61.16781155561662,-150.04287130559936,61.16788116657265,-149.97264861104432
Runways.37,50034.*A,15/33,61.19999166671614,-150.01467777742533,61.17104999990456,-149.998480555473
Runways.38,50035.*A,05/23,61.20967194431743,-149.84514055563685,61.21188472223921,-149.8347655557894
Runways.39,50035.*A,07/25,61.21590277769428,-149.8533055552566,61.21589999986974,-149.83062222206848
Runways.40,50035.*A,16/34,61.21568055571491,-149.8525166664522,61.20846111099037,-149.8525250001231
Runways.41,50035.2*C,06W/24W
Runways.42,50036.*A,06/24,61.24863333315676,-149.84425833367104,61.25338055545173,-149.78833611146504
Runways.43,50036.*A,16/34,61.262063888769475,-149.79347777799552,61.241566666744525,-149.7934916668481
Runways.44,50036.01*H,H1
Runways.45,50036.02*A,18/36
Runways.46,50036.1*A,16/34
Runways.47,50036.5*A,17/35,61.27138055546693,-149.65102055521277,61.260418055689605,-149.65559472184225
Runways.48,50037.*C,14/32,61.18932700015449,-149.96818883318815,61.18394930552841,-149.96259472208
Runways.49,50037.*C,E/W
Runways.50,50037.*C,N/S
Runways.51,50037.*C,NW/SE
Runways.52,50037.01*A,16/34
Runways.53,50037.02*A,17/35
Runways.54,50037.3*A,16/34
Runways.55,50037.31*A,N/S
Runways.56,50037.6*C,NW/SE
Runways.57,50038.*A,05W/23W
Runways.58,50038.*A,10/28,61.58584583319451,-159.5577711111238,61.57734666658133,-159.52831749993103
Runways.59,50039.*A,02/20,55.03734111110584,-131.5721627778503,55.048186888688086,-131.55255144488032
Runways.60,50039.*A,12/30,55.0509105279575,-131.58606558309108,55.03295983335638,-131.56874997208473
Runways.61,50039.01*C,NW/SE
Runways.62,50039.1*A,17/35,62.65276349993217,-160.18874436117613,62.64189247228819,-160.19138380551698
Runways.63,50039.11*C,E/W
Runways.64,50039.8*A,02/20,68.11028888888876,-145.59098333370483,68.11905000010981,-145.567847222664
Runways.65,50040.5*A,16/34,52.226536111203565,-174.20877499982063,52.21461944421684,-174.20363333329016
Runways.66,50044.*A,15/33,60.87186180549742,-162.27626880585353,60.863889388806385,-162.27227844444573
Runways.67,50044.5*A,06/24,70.46618063881373,-157.45328455597914,70.46804313895822,-157.41804116623626
Runways.68,50046.*A,02/20,52.82485555578978,173.1707694441306,52.84022777793497,173.18033888873023
Runways.69,50053.*C,E/W
Runways.70,50054.3*A,07/25,71.2848681943594,-156.79877686122776,71.28487797219562,-156.7383716109694
Runways.71,50055.5*A,07/25,70.13432783328595,-143.601192555634,70.13364833328988,-143.5625381666376
Runways.72,50056.*C,NW/SE
Runways.73,50056.5*A,16/34,64.68180555555362,-165.30000833341828,64.67637500018495,-165.2983944444333
Runways.74,50057.*A,10/28
Runways.75,50057.2*A,15/33
Runways.76,50057.4*A,09/27
Runways.77,50057.4*A,18/36
Runways.78,50058.*A,05/23,66.36061558337023,-147.4192875556309,66.36382252773988,-147.3937179165702
Runways.79,50059.9*C,NE/SW
Runways.80,50059.95*A,01/19,61.166722222285344,-151.04968611135638,61.17873888894332,-151.03613888894944
Runways.81,50059.95*A,09/27,61.174480555355714,-151.05716111141314,61.172366666527346,-151.04366666682583
Runways.82,50060.1*C,N/S
Runways.83,50060.2*C,NE/SW
Runways.84,50061.1*A,01L/19R,60.771769111012844,-161.8435034998258,60.78782747205425,-161.82924852804422
Runways.85,50061.1*A,01R/19L,60.771006638816694,-161.83991691676513,60.781042055664436,-161.83100552763707
Runways.86,50061.1*A,12/30,60.78131605560141,-161.8476806667953,60.778150444461346,-161.83954988849626
Runways.87,50062.*A,01/19,66.90794500010482,-151.53868974955205,66.91993744457675,-151.51939533323113
Runways.88,50062.01*C,14W/32W
Runways.89,50068.*C,09W/27W
Runways.90,50068.5*A,03/21
Runways.91,50068.51*C,11W/29W
Runways.92,50068.52*C,01W/19W
Runways.93,50068.53*C,18W/36W
Runways.94,50068.54*C,03W/21W
Runways.95,50068.56*A,01/19
Runways.96,50068.57*A,04/22
Runways.97,50068.58*A,01/19
Runways.98,50068.59*A,06/24
Runways.99,50068.6*A,07/25,61.5346833335404,-149.81956388905573,61.5346833335404,-149.8055249998292
Runways.100,50068.61*H,H1
Runways.101,50068.62*A,09/27
Runways.102,50068.63*A,04/22
Runways.103,50068.64*A,15/33
Runways.104,50068.65*C,01W/19W
Runways.105,50068.66*H,H1
Runways.106,50068.67*C,03/21
Runways.107,50068.67*C,05/23
Runways.108,50068.68*H,H1
Runways.109,50068.681*A,07/25
Runways.110,50068.69*C,ALL/WAY
Runways.111,50068.7*A,07/25
Runways.112,50068.78*A,16/34,66.2798192776357,-145.81551061120032,66.26910308351164,-145.82090197254885
Runways.113,50069.*A,02L/20R,61.41175975017044,-149.51618761092743,61.420230444613516,-149.50166127786144
Runways.114,50069.*A,02R/20L,61.41356666662124,-149.5116638891927,61.418244444469565,-149.50376111139767
Runways.115,50070.*A,14/32
Runways.116,50071.72*A,04/22
Runways.117,50072.*A,05/23
Runways.118,50072.5*A,04/22,65.33032647232243,-166.47331402740994,65.33366163882468,-166.46204919417124
Runways.119,50072.5*A,12/30,65.33345736124528,-166.47186391657266,65.32823963903803,-166.45681097222248
Runways.120,50073.*A,17/35
Runways.121,50073.1*A,11/29,65.9838669168317,-161.1582605000922,65.97925888900191,-161.14001333344132
Runways.122,50075.1*A,02/20
Runways.123,50078.*A,04/22
Runways.124,50078.12*A,02/20
Runways.125,50080.6*H,H1
Runways.126,50082.*A,09/27,68.87634955559011,-166.1289695004377,68.87391838882854,-166.09323894443483
Runways.127,50084.*A,14/32
Runways.128,50086.*C,NW/SE
Runways.129,50088.*A,02/20,61.77711666679908,-166.0424725003941,61.78650027796623,-166.0314583330523
Runways.130,50088.3*A,06/24
Runways.131,50088.3*A,16/34
Runways.132,50088.53*H,H1
Runways.133,50090.*A,08/26,65.5748386944894,-144.78982363862843,65.57307008335077,-144.77196233342633
Runways.134,50092.*A,03/21,66.64177147223995,-143.75096299997566,66.64827783346115,-143.72882586134486
Runways.135,50093.95*A,01/19
Runways.136,50094.3*A,04/22,67.50308333330817,-148.48893333330628,67.50766944430853,-148.47119166663202
Runways.137,50095.*C,NW/SE
Runways.138,50095.12*A,16/34,60.141208333130706,-164.2795138890899,60.132383333436614,-164.27858333327023
Runways.139,50095.4*A,08/26
Runways.140,50095.7*A,16/34,60.0826611109143,-147.99511666644705,60.07446111099862,-147.99435277775697
Runways.141,50096.*C,ALL/WAY
Runways.142,50096.22*A,02/20,61.53715277792557,-165.60592008307978,61.544537638706664,-165.59586388903847
Runways.143,50096.9*A,12/30
Runways.144,50097.*A,13/31,64.06989999997826,-141.9543666665321,64.06360277786521,-141.94832777796722
Runways.145,50097.5*C,E/W
Runways.146,50097.5*C,NE/SW
Runways.147,50097.51*A,04/22
Runways.148,50097.53*A,02/20,56.30847222246591,-158.37670833349978,56.31434722201509,-158.36948333368824
Runways.149,50097.54*A,08/26,56.256177777981435,-158.7845944446959,56.254736110960145,-158.77106944481247
Runways.150,50099.*A,12/30
Runways.151,50101.*A,02/20,62.560223555475226,-144.67648936077558,62.564449166642184,-144.66841552758075
Runways.152,50103.*A,13/31,61.58686388898121,-144.43261944449637,61.579541666864486,-144.4269861111463
Runways.153,50104.37*A,09/27,61.58037941676539,-159.22498697210187,61.577749750178974,-159.206272444348
Runways.154,50104.45*A,03/21
Runways.155,50106.5*A,15/33,65.83199633332448,-144.07619511110013,65.82385261119319,-144.07618094466812
