Runways.156,50108.*A,09/27,65.48785555555452,-144.62280833369385,65.48395833314778,-144.60056111101656
Runways.157,50108.1*C,18/36
Runways.158,50108.3*A,18/36,58.837849416754985,-158.52678938921557,58.8295210278561,-158.5319980278454
Runways.159,50109.01*A,01/19,64.2958684723209,-149.12358108363776,64.30492755546595,-149.1095016669172
Runways.160,50109.11*A,02/20
Runways.161,50112.6*C,N/S
Runways.162,50114.*A,08/26,55.1992027778411,-162.73223611075488,55.19778055534493,-162.70249166639564
Runways.163,50114.*A,15/33,55.2223611109556,-162.73789444421934,55.19645555559356,-162.71991666705074
Runways.164,50114.01*C,E/W
Runways.165,50114.01*C,N/S
Runways.166,50114.02*A,01/19
Runways.167,50114.35*A,01/19,67.24755222213739,-150.2113994444393,67.25680583345321,-150.19635694480095
Runways.168,50116.*A,14/32
Runways.169,50121.5*A,04/22,60.4826083331379,-149.72798888878077,60.485919444450595,-149.717811111359
Runways.170,50122.1*A,13/31
Runways.171,50124.*A,09/27,60.49670991679999,-145.49674611140668,60.48829038898466,-145.4588221389746
Runways.172,50124.*A,16/34,60.49147313890106,-145.4765865554834,60.48627952790113,-145.4767101106659
Runways.173,50124.5*A,09/27
Runways.174,50125.*A,06/24
Runways.175,50125.*A,09W/27W
Runways.176,50127.*A,10/28,64.89860000009507,-163.71211666646607,64.89489444443835,-163.69488055546407
Runways.177,50130.*C,N/S
Runways.178,50130.01*C,13/31
Runways.179,50130.1*H,H1
Runways.180,50130.4*A,13/31
Runways.181,50132.1*A,13/31,61.870233250168184,-158.13805911124152,61.865526416710736,-158.13183680556023
Runways.182,50132.11*A,11/29,62.03658888874857,-158.2477166663831,62.028363889059584,-158.22509166709455
Runways.183,50132.4*A,13/31
Runways.184,50135.1*A,08/26
Runways.185,50140.7*A,05/23,70.19245775005831,-148.4904582495522,70.19705044449185,-148.43987147216157
Runways.186,50140.72*A,03/21,70.34012566656536,-150.96089436132624,70.34841813884715,-150.92859697230315
Runways.187,50140.721*A,03/21
Runways.188,50140.73*A,03/21,70.1338805554838,-147.04800555545756,70.14105277765225,-147.0128638891409
Runways.189,50140.75*H,H1
Runways.190,50140.76*A,05/23,70.1337479723188,-146.30898549963666,70.13825661097093,-146.27106547260527
Runways.191,50140.8*A,02/20,69.99888083334307,-153.09132222180233,70.00878055563945,-153.06381416658056
Runways.192,50145.1*A,02/20,66.06520830539749,-162.77406974983114,66.0723656109811,-162.76033308351066
Runways.193,50145.1*A,11/29,66.07169972216774,-162.77406452792442,66.06737797218182,-162.75966797267088
Runways.194,50146.*A,01/19,63.98637186121797,-145.73516988886797,64.00773449999366,-145.7073528607992
Runways.195,50146.*A,07/25,63.99147305572394,-145.73034583338435,63.99106583338765,-145.70497666685404
Runways.196,50146.*A,10/28,63.9997134723458,-145.73545702816205,63.990223527730144,-145.70410327802244
Runways.197,50146.012*A,08/26
Runways.198,50146.012*A,15/33
Runways.199,50146.02*A,07/25
Runways.200,50146.022*A,15/33
Runways.201,50146.03*A,12/30
Runways.202,50146.04*A,11/29
Runways.203,50146.05*A,15/33
Runways.204,50146.06*A,15/33
Runways.205,50146.07*H,H1
Runways.206,50146.08*H,H1
Runways.207,50146.09*A,09/27
Runways.208,50146.1*A,07/25
Runways.209,50153.*A,01/19,59.036837722055125,-158.51309216702086,59.052510166879244,-158.49793130536065
Runways.210,50153.01*A,16/34
Runways.211,50154.*C,NE/SW
Runways.212,50156.5*H,H1
Runways.213,50165.*A,14/32
Runways.214,50175.*A,07/25,64.77830469431281,-141.16112958315392,64.77788141666855,-141.13808372225643
Runways.215,50175.01*A,06/24
Runways.216,50176.03*C,N/S
Runways.217,50177.*A,17/35,60.218076611269936,-162.04249277782327,60.20931863871764,-162.045311138721
Runways.218,50178.1*A,03/21,58.184288888925394,-157.37510833330703,58.18694166672101,-157.36918055556296
Runways.219,50178.1*A,12/30,58.19130277792088,-157.38568611076187,58.17961111101981,-157.36692777756147
Runways.220,50181.7*A,01/19
Runways.221,50182.*A,02/20,59.35329347212593,-157.47669377822248,59.36038630541278,-157.46558438856226
Runways.222,50195.7*H,H1
Runways.223,50196.3*C,NW/SE
Runways.224,50197.*A,01/19,64.61091597220869,-162.27581761083243,64.6190335831822,-162.26526030598285
Runways.225,50197.01*A,06/24
Runways.226,50197.3*C,NW/SE
Runways.227,50198.61*A,16/34,62.792428000062586,-164.49153491642133,62.779867527688516,-164.4899653053967
Runways.228,50199.6*C,N/S
Runways.229,50202.*A,16/34
Runways.230,50203.*A,08/26,64.0422699720906,-148.86607794473792,64.04195836113331,-148.86019266629
Runways.231,50208.*C,NW/SE
Runways.232,50215.*C,E/W
Runways.233,50215.*C,N/S
Runways.234,50215.01*A,18/36
Runways.235,50215.01*A,18W/36W
Runways.236,50215.02*H,H1
Runways.237,50215.03*A,06/24
Runways.238,50215.03*A,06W/24W
Runways.239,50215.04*A,02/20
Runways.240,50215.04*A,16/34
Runways.241,50215.05*A,02/20
Runways.242,50215.1*A,06/24
Runways.243,50215.2*A,06/24
Runways.244,50215.21*A,09/27
Runways.245,50216.*A,07L/25R,64.83741666667935,-147.64201944402987,64.83781388891973,-147.5869583333805
Runways.246,50216.*A,07R/25L,64.83549999989727,-147.64165000019116,64.83585000010963,-147.59488333369907
Runways.247,50216.3*A,15/33
Runways.248,50216.31*A,13/31
Runways.249,50216.32*A,09/27,64.19989513896014,-147.93542122180708,64.19620538895569,-147.9217836944596
Runways.250,50217.*A,14/32,64.68420833324336,-147.11791944425224,64.64708055562832,-147.08495833318486
Runways.251,50218.*A,16/34
Runways.252,50219.*A,02/20,64.8160556112945,-147.84655550000485,64.822295666527,-147.83507541694937
Runways.253,50219.*A,02L/20R,64.80263211127006,-147.8858843890323,64.82803077766536,-147.83920258369014
Runways.254,50219.*A,02R/20L,64.80023986103957,-147.8756214162873,64.81423297206159,-147.84990738921437
Runways.255,50219.*A,02W/20W,64.8161121943356,-147.85460811139941,64.82773191685646,-147.83323036089914
Runways.256,50221.3*C,E/W
Runways.257,50221.5*A,14/32,54.85042308328072,-163.40962872244077,54.845311027576976,-163.40457124961202
Runways.258,50222.*A,08/26
Runways.259,50223.*A,13/31
Runways.260,50223.1*C,NW/SE
Runways.261,50225.7*A,12/30
Runways.262,50228.4*H,H1
Runways.263,50230.*A,08/26
Runways.264,50235.*A,04/22,66.56902361093795,-145.2612477776182,66.57578941680737,-145.23141511151155
Runways.265,50250.*C,NE/SW
Runways.266,50257.5*A,13/31,68.48594519456451,-149.49886919448247,68.47340641654841,-149.48095077798786
Runways.267,50258.*A,06/24,64.7365900000563,-156.94769944416325,64.73663111099053,-156.92987638922594
Runways.268,50258.*A,07/25,64.73592036095275,-156.9600334163205,64.73608513886983,-156.91365855542944
Runways.269,50260.*A,16/34,63.772706416573136,-171.73470263893054,63.76052163882555,-171.73086513844473
Runways.270,50270.1*A,02/20,60.96681111111366,-149.12309722227968,60.97123333325726,-149.11559444451768
Runways.271,50272.*A,11/29
Runways.272,50274.2*C,NW/SE
Runways.273,50275.01*A,02/20,64.54602972222148,-163.0146361107547,64.55488055561631,-162.99970416677834
Runways.274,50277.*A,06/24,59.11638433338943,-161.5819644163057,59.11933511124792,-161.56536955599117
Runways.275,50278.6*A,08/26,61.39489444456286,-149.85081111068072,61.39440555540232,-149.83372777795572
Runways.276,50280.2*A,17/35,65.40742500009813,-161.2813277779101,65.39683888900448,-161.2816194447132
Runways.277,50280.69*A,17/35,62.897548916487395,-160.06586130536516,62.886621694361644,-160.0669324717813
Runways.278,50281.*A,15/33,62.161707500102715,-145.45661324996288,62.14819605565023,-145.45205888849048
Runways.279,50281.01*A,06/24
Runways.280,50284.*A,02/20,58.42006347214844,-135.7181928055756,58.42656080551481,-135.70742311114512
Runways.281,50284.*A,11/29,58.432715333373984,-135.71727927822045,58.41970519428366,-135.69250061115736
Runways.282,50296.*A,08/26,59.24571472238066,-135.53356638882198,59.2419438888233,-135.5135088887015
Runways.283,50296.01*A,08/26
Runways.284,50296.02*H,H1
Runways.285,50296.1*C,N/S
Runways.286,50300.1*A,08/26
Runways.287,50300.1*A,17/35
Runways.288,50303.*C,N/S
Runways.289,50308.*A,15/33,63.87152413870477,-148.97007358303546,63.86363719440966,-148.96760816661964
Runways.290,50308.01*H,H1
Runways.291,50308.01*H,H2
Runways.292,50308.01*H,H3
Runways.293,50308.01*H,H4
Runways.294,50310.15*A,07/25
Runways.295,50310.15*A,12/30
Runways.296,50310.4*A,06/24
Runways.297,50312.5*A,11/29
Runways.298,50317.3*C,E/W
Runways.299,50318.*A,01/19,62.1836122224024,-159.7809938892997,62.192979444645424,-159.76890611122587
Runways.300,50320.*A,04/22,59.64029399977882,-151.4914299447999,59.65080419456845,-151.4617548333126
Runways.301,50320.1*C,NE/SW
Runways.302,50320.12*A,01/19
Runways.303,50320.13*A,12/30
Runways.304,50320.14*A,12/30
Runways.305,50320.15*A,09/27
Runways.306,50320.15*A,H1
Runways.307,50320.16*H,H1
Runways.308,50320.2*A,09/27
Runways.309,50320.21*A,06/24
Runways.310,50321.*C,E/W
Runways.311,50321.01*A,06/24,58.09522472231941,-135.4172680559088,58.09717388900701,-135.40024444408223
Runways.312,50322.*A,13/31,61.52772402778932,-166.15154194468886,61.52001669434099,-166.1417071108049
Runways.313,50324.*A,16/34,60.91005833346996,-149.62210555589806,60.90446666666478,-149.62351944486645
Runways.314,50324.6*A,03/21
Runways.315,50325.*A,09/27
Runways.316,50325.01*A,E/W
Runways.317,50325.02*A,09/27
Runways.318,50325.03*A,18/36
Runways.319,50325.04*A,05/23
Runways.320,50325.05*C,N/S
Runways.321,50328.*A,17/35,66.04357638903178,-154.26197536143988,66.0346053056143,-154.2674186391236
Runways.322,50330.1*A,03/21,65.69442416671322,-156.36172544414615,65.70128377760213,-156.34105980523955
Runways.323,50335.*C,E/W
Runways.324,50336.*C,N/S
Runways.325,50336.6*A,05/23
Runways.326,50337.*A,06/24
Runways.327,50338.*A,05/23,59.322772222260205,-155.9094086113868,59.32531111105625,-155.89413666675352
Runways.328,50340.*A,07/25,59.75188549997141,-154.92405658346837,59.75130408336711,-154.89650950004076
Runways.329,50340.*A,17/35,59.762620138798034,-154.90961599998613,59.749652194620175,-154.9137163609988
Runways.330,50340.*A,E/W,59.759166666778995,-154.92083333300752,59.76027777784857,-154.93694444425336
Runways.331,50340.*A,N/S,59.76111111098478,-154.92694444432465,59.75361111128794,-154.93194444473815
Runways.332,50340.8*A,16/34
Runways.333,50353.*C,N/S
Runways.334,50360.*A,12/30
Runways.335,50363.*A,06/24
Runways.336,50385.*A,08/26,58.35784722226949,-134.59696944468377,58.35163333351925,-134.55239722229362
Runways.337,50385.*A,08W/26W
Runways.338,50385.01*H,H1
Runways.339,50385.02*H,H1
Runways.340,50385.05*C,NW/SE
Runways.341,50385.06*H,H1
Runways.342,50385.2*H,H1
Runways.343,50393.*C,NW/SE
Runways.344,50393.01*A,11/29,56.964872222425285,-133.917950000188,56.957852777804966,-133.90257222233618
Runways.345,50395.*A,15/33
Runways.346,50395.*A,H1
Runways.347,50395.01*A,09/27
Runways.348,50397.*A,06/24,61.535311388916135,-160.3546504165164,61.53662736103744,-160.33653252821463
Runways.349,50398.*A,03/21,64.31524191652723,-158.7504423059023,64.3227180001203,-158.73216975016655
Runways.350,50398.7*H,H1
Runways.351,50399.*A,10/28
Runways.352,50399.1*A,15/33
Runways.353,50399.7*A,10/28,57.5674986389445,-154.4581498053255,57.564625666799074,-154.44947961115622
Runways.354,50399.71*C,NW/SE
Runways.355,50400.*C,N/S
Runways.356,50405.5*A,17/35,60.87742088893664,-162.52337499996185,60.86926494449047,-162.52522633343932
Runways.357,50406.*A,01/19,60.34764722222034,-151.26605833358232,60.35339444457978,-151.25965555546213
Runways.358,50406.2*C,09W/27W
Runways.359,50406.4*A,10/28
Runways.360,50407.3*C,ALL/WAY
Runways.361,50409.11*A,08/26,69.67836111118275,-146.92118888930685,69.67519166676307,-146.8789027778051
Runways.362,50410.*A,01L/19R,60.56311138897323,-151.2583874998953,60.581459916689575,-151.23593783288558
Runways.363,50410.*A,01R/19L,60.574961500115755,-151.23831111089933,60.579647360925556,-151.2325708888102
Runways.364,50410.*A,01W/19W
Runways.365,50410.11*A,05/23
Runways.366,50410.11*A,H1
Runways.367,50410.12*A,17/35
Runways.368,50410.13*C,06/24
Runways.369,50410.16*A,16/34
Runways.370,50410.17*A,07/25
Runways.371,50410.19*A,15/33
Runways.372,50410.21*C,07/25
Runways.373,50410.21*C,N/S
Runways.374,50410.21*C,NE/SW
Runways.375,50410.22*A,16/34
Runways.376,50410.24*H,H1
Runways.377,50412.*C,NE/SW
Runways.378,50412.01*H,H1
Runways.379,50412.03*A,11/29,55.361412111192166,-131.7238267504367,55.34674108331577,-131.69860983307572
Runways.380,50412.03*A,WNW/ESE
Runways.381,50412.04*C,E/W,55.34698611099442,-131.6710194445632,55.34168611124247,-131.6547916664165
Runways.382,50412.1*C,NE/SW
Runways.383,50412.9*A,06/24,66.97530222218991,-160.44828472193518,66.97660583317047,-160.42478416707854
Runways.384,50414.1*A,07/25,55.1161944445387,-162.27460000016035,55.116502777940354,-162.25789166645575
Runways.385,50416.*A,12/30,58.683940000146755,-156.66472649957356,58.667688888746156,-156.62989722239692
Runways.386,50416.*A,18/36,58.68327319441438,-156.64878163863904,58.67272213896786,-156.65471063899017
Runways.387,50416.*A,NW/SE
Runways.388,50416.31*A,17/35,59.936011111175084,-164.02767499995895,59.927286111246765,-164.02910833296167
Runways.389,50416.6*C,E/W
Runways.390,50417.*A,12/30,67.73915361118581,-164.57085361108184,67.73314888877493,-164.5561383335655
Runways.391,50420.*C,NW/SE
Runways.392,50420.01*A,02/20,55.57392222211092,-133.08362222220276,55.58454166667064,-133.06837222251357
Runways.393,50422.1*A,09/27,66.91385800016587,-156.9107818336827,66.91082083334962,-156.88388238886256
Runways.394,50423.*A,02/20
Runways.395,50424.*C,NE/SW
Runways.396,50425.*A,07/25,57.75218888870951,-152.51899166633547,57.75146388887854,-152.4804499997376
Runways.397,50425.*A,11/29,57.7549197500926,-152.50226711085347,57.74602136125395,-152.4802058331518
Runways.398,50425.*A,18/36,57.75294175001628,-152.4828345552014,57.74026127767365,-152.49258366645108
Runways.399,50425.1*C,02/20
Runways.400,50426.25*A,06/24,59.43255833325341,-154.81133888856527,59.43401388902836,-154.79384722213632
Runways.401,50426.4*A,09/27,59.72776500002568,-157.26728944449903,59.725518888794745,-157.2516547224248
Runways.402,50426.6*A,01/19,59.958586110999185,-162.88304444432134,59.96467500010498,-162.87814166677438
Runways.403,50427.61*A,02/20,63.025498611173205,-163.53973525002897,63.03565444463863,-163.52552666635034
Runways.404,50429.*A,09/27,66.88932419434236,-162.6079865278522,66.8860264722743,-162.56781269424835
Runways.405,50429.*A,18/36,66.8851066389846,-162.6093238614938,66.87482444459474,-162.61580327758583
Runways.406,50433.2*A,01/19,64.93576694450556,-161.15819638912703,64.94326722238094,-161.1503347218326
Runways.407,50436.*A,06/24,64.87476230547682,-157.74305588865528,64.87687111111337,-157.71781530517814
Runways.408,50437.*A,07/25,58.964534722357804,-155.1072316667776,58.965475277689514,-155.08399333374567
Runways.409,50437.*A,18W/36W
Runways.410,50437.51*A,06/24,70.32887919431438,-149.6240863051669,70.3324804723463,-149.57204397225007
Runways.411,50437.52*H,H1
Runways.412,50437.53*H,H1
Runways.413,50437.54*H,H1
Runways.414,50438.25*A,04/22
Runways.415,50438.25*A,13/31
Runways.416,50438.5*A,18/36,60.79454902787057,-161.441242166425,60.786132444351054,-161.4461439162993
Runways.417,50438.61*A,15/33,59.87800277760832,-163.16937222189978,59.8731666668514,-163.1667027774217
Runways.418,50439.*A,13/31,62.295052777667586,-146.58160277792047,62.28818333353374,-146.5730972224849
Runways.419,50439.1*C,ALL/WAY
Runways.420,50439.71*A,04/22,57.53303611132929,-153.9824499999936,57.537066666857825,-153.97092777786648
Runways.421,50447.*A,15/33,60.415102777611146,-149.36961111130705,60.408666666857634,-149.3690722218496
Runways.422,50448.*C,NE/SW
Runways.423,50449.01*A,01/19,59.123031194620324,-156.86372186096213,59.13110827798408,-156.85606758322578
Runways.424,50449.5*A,10/28,61.36017499983002,-155.44406388845593,61.35808611103425,-155.4367083328909
Runways.425,50451.*A,15/33,65.47203333351725,-148.6552333331363,65.46818333348058,-148.65405000037882
Runways.426,50453.*A,07/25
Runways.427,50454.5*A,05/23
Runways.428,50455.6*C,E/W
Runways.429,50464.01*A,01/19,61.434033333274,-142.9086583331844,61.441574999853785,-142.89632777821853
Runways.430,50464.1*A,16/34
Runways.431,50465.*A,10/28
Runways.432,50466.8*A,11/29
Runways.433,50467.*A,05/23,62.95677838883283,-155.6188365833484,62.95886283324985,-155.60772958320686
Runways.434,50467.*A,16/34,62.959201333378246,-155.60528511101194,62.94297249981737,-155.6046095276126
Runways.435,50467.01*A,16/34
Runways.436,50467.1*C,N/S
Runways.437,50470.*A,16/34
Runways.438,50470.1*A,12/30
Runways.439,50474.*A,04/22
Runways.440,50475.*A,18/36,64.99230422209605,-150.6437217777257,64.98359722223164,-150.65141944409027
Runways.441,50476.*A,03/21,58.9286107498551,-158.90753702736916,58.935504833278515,-158.8962548332893
Runways.442,50480.01*A,07/25,61.863794638887136,-162.03535274965452,61.864554527826776,-162.01689016699848
Runways.443,50482.*A,13/31
Runways.444,50482.01*A,02/20
Runways.445,50485.*A,14/32
Runways.446,50488.5*A,05/23,60.3697499999843,-166.2783916670454,60.37308888867309,-166.26282500043877
Runways.447,50489.*C,E/W
Runways.448,50489.*C,N/S
Runways.449,50490.*C,NW/SE
Runways.450,50492.*A,02/20,59.44420863899597,-146.31285216662312,59.45134474996529,-146.30329019421006
Runways.451,50492.*A,13/31,59.456276110898536,-146.3075258612675,59.45273186126253,-146.30345924996004
Runways.452,50497.*A,03/21,63.88193541659549,-152.31101397226755,63.89002822238566,-152.29267186087762
Runways.453,50498.1*A,02/20,65.14472372215205,-149.37599647199218,65.15161738894442,-149.36118150034392
Runways.454,50498.8*A,14/32
Runways.455,50499.*A,03/21
Runways.456,50500.07*C,N/S
Runways.457,50500.7*C,N/S
Runways.458,50502.*A,02/20,62.09075638905089,-163.68834183349531,62.098826527774236,-163.67735538906152
Runways.459,50515.1*A,14/32
Runways.460,50516.7*A,04/22
