Airports.1,GSN,51523.2*A,Airport,15.120255000134566,145.72998408361605
Airports.2,0TT8,51523.3*H,Heliport,14.96333333320867,145.64166666651377
Airports.3,GRO,51531.*A,Airport,14.174355194336627,145.24112530594644
Airports.4,HI64,51531.01*H,Heliport,14.962500000297457,145.63027777773104
Airports.5,HI22,51531.02*H,Heliport,14.960000000354782,145.62638888911934
Airports.6,TT03,51531.1*H,Heliport,15.24999999965695,145.783333333219
Airports.7,TT01,51533.*A,Airport,18.124444444657797,145.76861111082715
Airports.8,TNI,51533.1*A,Airport,14.99920277800068,145.61934999957344
Airports.9,CT74,02777.1*A,Airport,41.9506522219337,-72.18146611110375
Airports.10,01CT,02778.*H,Heliport,41.627288888961296,-72.7274638889131
Airports.11,CT01,02780.*A,Airport,41.666207499856725,-73.18900166665424
Airports.12,33CT,02780.01*A,Airport,41.609444444494784,-73.2397222220553
Airports.13,5CT5,02780.1*A,Airport,41.63230555570694,-73.21622222235753
Airports.14,CT05,02783.5*H,Heliport,41.86204277785875,-72.69981527789211
Airports.15,CT36,02784.5*A,Airport,41.56454249990218,-72.19730111077394
Airports.16,BDR,02785.*A,Airport,41.163472222021014,-73.12616666669012
Airports.17,0CT7,02785.01*H,Heliport,41.188430000229815,-73.16622194423609
Airports.18,CT12,02785.02*H,Heliport,41.20148527768517,-73.20177944429105
Airports.19,CT37,02785.11*H,Heliport,41.16120777807332,-73.20289000003578
Airports.20,CT96,02788.*A,Airport,41.70843138869054,-72.97121527788048
Airports.21,CT03,02788.01*H,Heliport,41.67594444454589,-72.9362222225562
Airports.22,CT60,02788.02*H,Heliport,41.67515833308218,-72.89108888908335
Airports.23,23CT,02791.51*H,Heliport,41.785900000146256,-72.93129722248574
Airports.24,SNC,02798.3*A,Airport,41.383709444630504,-72.50578722183398
Airports.25,CT07,02798.68*A,Airport,41.573709444357846,-72.30313694433771
Airports.26,CT09,02798.75*A,Airport,41.80287611087053,-72.39174916695663
Airports.27,DXR,02802.*A,Airport,41.371527777702454,-73.48219444419408
Airports.28,0CT8,02802.02*H,Heliport,41.405555555613475,-73.44472222194193
Airports.29,LZD,02803.*A,Airport,41.81974999990768,-71.90097222205077
Airports.30,CT39,02803.85*A,Airport,41.468431110792494,-72.70842888897825
Airports.31,5CT6,02803.856*U,Ultralight,41.919527778097034,-72.11841666711163
Airports.32,CT50,02803.86*H,Heliport,41.94287472206622,-72.70620388868193
Airports.33,42B,02804.*A,Airport,41.44565444449856,-72.45564250000474
Airports.34,CT86,02804.01*H,Heliport,41.43398750015038,-72.39397388877522
Airports.35,CT11,02804.02*A,Airport,41.443987222247564,-72.33897194476373
Airports.36,CT88,02806.*H,Heliport,41.753333333013195,-72.62833333305662
Airports.37,CT13,02808.*A,Airport,41.88343138893013,-71.81618166711078
Airports.38,CT85,02809.2*A,Airport,41.889819999863235,-72.61508972235112
Airports.39,CT14,02809.4*A,Airport,41.86676472216063,-72.61620111083411
Airports.40,7B9,02810.1*A,Airport,41.92541666651082,-72.457111110747
Airports.41,CT15,02810.2*A,Airport,41.945374721990156,-72.47758499976463
Airports.42,02CT,02810.21*H,Heliport,41.919636111152656,-72.44445555519279
Airports.43,CT23,02810.51*H,Heliport,41.94009694418736,-72.60592250021664
Airports.44,CT27,02810.52*H,Heliport,42.00398499989254,-72.54008694484556
Airports.45,CT87,02810.53*C,Seaplane Base,41.99842944412695,-72.60592222263722
Airports.46,CT16,02810.8*C,Seaplane Base,41.37509833312211,-72.3745286111821
Airports.47,CT97,02810.81*H,Heliport,41.32898777796271,-72.4281419448173
Airports.48,CT41,02812.*H,Heliport,41.217318333475745,-73.25539305550566
Airports.49,CT71,02814.*H,Heliport,41.70894999974801,-72.80210000017084
Airports.50,CT75,02814.01*H,Heliport,41.733433055731346,-72.79287527777333
Airports.51,CT02,02816.49*H,Heliport,41.64232222198422,-72.56342222226633
Airports.52,CT38,02816.5*H,Heliport,41.71232166697356,-72.58786722179525
Airports.53,CT42,02817.*A,Airport,41.85009500013531,-73.26622694444467
Airports.54,GON,02823.*A,Airport,41.330055555310906,-72.04513888851355
Airports.55,CT84,02825.5*H,Heliport,41.37370805525913,-72.9087130552201
Airports.56,CT40,02825.51*H,Heliport,41.369819166618356,-72.91732444477256
Airports.57,HFD,02827.*A,Airport,41.736722222348156,-72.64944444471598
Airports.58,CT06,02827.01*H,Heliport,41.788988333633206,-72.66064749991425
Airports.59,0CT9,02827.23*H,Heliport,41.75454444468573,-72.67870388865332
Airports.60,0CT5,02829.01*H,Heliport,41.77454416699554,-72.69898222251844
Airports.61,CT73,02829.02*H,Heliport,41.723155555509294,-72.86009999957787
Airports.62,04CT,02829.3*H,Heliport,41.75510555522406,-73.0523999997616
Airports.63,CT19,02830.6*A,Airport,41.9681522223956,-72.53980916689508
Airports.64,CT43,02832.*A,Airport,41.593709444236936,-71.9311844443313
Airports.65,24CT,02832.01*A,Airport,41.56688611125896,-71.96688333292376
Airports.66,CT44,02834.*A,Airport,41.78565083338985,-73.3087286111904
