#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
0.44, 1.26, 8.494130169219982, -870.0, 67.94, -0.08, -0.0, 845.0
1.14, 0.33, 11.741609366894112, -1350.0, 66.73, -0.05, 0.0, 828.0
4.09, -0.75, 10.42571831550505, -1380.0, 70.31, -0.05, -0.01, 810.0
3.26, -0.65, 8.021094080715006, -1080.0, 70.74, 0.01, 0.03, 814.0
7.97, -0.36, 7.385484071761305, -960.0, 70.34, 0.01, 0.02, 796.0
5.38, 0.24, 7.5762941737841185, -930.0, 71.92, 0.05, -0.03, 809.0
5.73, -0.52, 8.775237460564428, -1170.0, 71.53, 0.0, 0.01, 793.0
3.79, 0.0, 9.332237996176957, -1140.0, 69.65, 0.05, 0.03, 771.0
-3.21, 3.21, 11.917327820722587, -1050.0, 68.32, 0.17, 0.07, 757.0
-12.01, 4.53, 9.890941687741897, -630.0, 65.6, 0.07, 0.06, 722.0
-18.58, 2.98, 2.2220978919809347, 90.0, 66.46, 0.05, -0.01, 715.0
-24.88, 2.93, 1.69406668901267, 150.0, 68.58, 0.2, -0.05, 686.0
-31.03, 2.7, 4.208079178241525, -180.0, 66.96, 0.18, -0.06, 683.0
-33.73, 2.72, 5.204606320028103, -300.0, 68.1, 0.24, -0.06, 670.0
-30.78, 5.87, 11.105639341292692, -630.0, 67.87, 0.04, 0.02, 665.0
-31.2, 7.75, 17.00865564258565, -1050.0, 62.54, 0.05, 0.06, 653.0
-30.74, 6.38, 15.482026383122808, -990.0, 58.76, 0.05, 0.06, 664.0
-29.88, 1.81, 7.897699500867585, -660.0, 58.27, 0.02, 0.02, 623.0
-29.78, -5.15, 1.8652164756611436, -780.0, 60.57, -0.09, -0.0, 602.0
-31.05, -7.68, 4.18627076844289, -1380.0, 65.15, 0.07, -0.01, 574.0
-31.61, -7.91, 7.795284093945108, -1860.0, 67.41, 0.18, 0.0, 569.0
-31.54, -6.83, 8.24433141205239, -1830.0, 69.74, 0.33, 0.0, 526.0
-25.25, -5.76, 5.988775704570811, -1470.0, 71.29, 0.35, -0.0, 515.0
-21.85, -2.16, 7.133766805215078, -1230.0, 75.21, 0.43, -0.03, 493.0
-25.49, 1.87, 11.485440352227812, -1260.0, 74.49, 0.28, 0.02, 477.0
-29.85, 6.95, 16.218993577029906, -1200.0, 73.57, 0.3, 0.06, 512.0
-26.54, 10.24, 11.675763444078703, -180.0, 70.94, 0.63, 0.0, 506.0
-23.15, 9.11, 1.6862270196033613, 960.0, 73.37, 0.24, -0.12, 516.0
-24.29, 11.61, 4.002928801139529, 990.0, 73.85, 0.34, -0.12, 526.0
-17.07, 15.7, 8.444849736256185, 930.0, 72.72, 0.27, -0.1, 553.0
-12.63, 18.24, 8.09510394149362, 1260.0, 70.64, 0.12, -0.11, 576.0
-7.67, 19.29, 7.062692231420856, 1470.0, 68.39, -0.02, -0.1, 590.0
