#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-31.54, -6.83, 8.24433141205239, -1830.0, 69.74, 0.33, 0.0, 526.0
-25.25, -5.76, 5.988775704570811, -1470.0, 71.29, 0.35, -0.0, 515.0
-21.85, -2.16, 7.133766805215078, -1230.0, 75.21, 0.43, -0.03, 493.0
-25.49, 1.87, 11.485440352227812, -1260.0, 74.49, 0.28, 0.02, 477.0
-29.85, 6.95, 16.218993577029906, -1200.0, 73.57, 0.3, 0.06, 512.0
-26.54, 10.24, 11.675763444078703, -180.0, 70.94, 0.63, 0.0, 506.0
-23.15, 9.11, 1.6862270196033613, 960.0, 73.37, 0.24, -0.12, 516.0
-24.29, 11.61, 4.002928801139529, 990.0, 73.85, 0.34, -0.12, 526.0
-17.07, 15.7, 8.444849736256185, 930.0, 72.72, 0.27, -0.1, 553.0
-12.63, 18.24, 8.09510394149362, 1260.0, 70.64, 0.12, -0.11, 576.0
-7.67, 19.29, 7.062692231420856, 1470.0, 68.39, -0.02, -0.1, 590.0
-3.12, 18.47, 5.667586596642062, 1500.0, 65.97, -0.07, -0.12, 617.0
-0.94, 13.7, 2.261166852488479, 1320.0, 64.37, -0.27, -0.12, 638.0
-0.66, 10.32, 4.1878714732006195, 720.0, 65.56, -0.22, -0.06, 643.0
1.37, 8.96, 9.475518503705521, -60.0, 64.55, -0.15, -0.07, 648.0
1.53, 9.54, 17.80455746348045, -960.0, 64.69, -0.07, 0.04, 640.0
8.73, 14.44, 23.210896885874078, -960.0, 59.29, 0.35, 0.23, 644.0
7.73, 18.12, 10.279026717324388, 750.0, 48.03, 0.15, 0.1, 659.0
6.8, 21.4, 0.7401358492311374, 2190.0, 58.04, 0.08, 0.03, 650.0
4.36, 19.72, 0.6936092593856529, 2070.0, 60.05, -0.19, -0.01, 674.0
3.23, 22.84, 9.378705690907797, 1440.0, 57.74, 0.01, -0.02, 697.0
2.79, 21.74, 10.57174853153785, 1170.0, 55.69, -0.12, 0.03, 722.0
2.44, 19.12, 7.8742176707820715, 1170.0, 55.11, -0.2, 0.0, 742.0
1.04, 16.56, 6.340067324854861, 1050.0, 53.96, -0.18, -0.02, 757.0
-0.44, 13.91, 7.2320495486847305, 690.0, 54.18, -0.18, -0.03, 746.0
-0.19, 12.13, 8.381510451891778, 390.0, 54.63, -0.16, -0.04, 751.0
0.81, 10.48, 8.748017151525573, 180.0, 54.49, -0.1, -0.04, 751.0
-2.43, 10.56, 10.56, 0.0, 55.89, 0.02, -0.06, 750.0
-2.46, 13.28, 12.725393857328195, 60.0, 57.92, 0.19, -0.05, 755.0
1.78, 14.26, 11.245196084216023, 330.0, 58.99, 0.04, -0.04, 762.0
-1.18, 15.01, 11.143440718316265, 420.0, 58.34, -0.05, -0.06, 751.0
1.83, 16.41, 12.817133378567702, 390.0, 58.27, 0.07, -0.04, 764.0
