#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-20.49, -2.58, 0.685598519925692, -540.0, 93.61, 0.09, 0.01, 868.0
-24.65, -2.71, -0.19935013578149174, -420.0, 94.68, 0.02, 0.04, 827.0
-24.48, -1.6, 5.225697375459971, -1140.0, 94.72, 0.16, 0.01, 829.0
-23.38, -2.0, 3.4229377760201283, -900.0, 94.04, 0.2, 0.05, 792.0
-23.01, -1.67, 0.9600643778023392, -450.0, 96.84, 0.26, -0.01, 778.0
-24.66, -2.04, 4.008016984860507, -1050.0, 98.41, -0.04, 0.12, 749.0
-27.49, -1.89, 5.311313916954309, -1200.0, 94.53, 0.32, 0.01, 736.0
-26.81, -2.72, 0.6381605825876293, -570.0, 96.09, 0.14, 0.0, 723.0
-29.34, -3.05, 1.0825707307905317, -690.0, 94.55, -0.01, 0.04, 711.0
-29.22, -3.68, 1.8031748009285065, -900.0, 93.01, 0.3, -0.0, 695.0
-27.4, -4.67, -0.7593959821516569, -630.0, 91.22, 0.05, -0.05, 690.0
-26.22, -3.1, 2.8147180043066364, -990.0, 94.87, 0.13, 0.0, 672.0
-23.54, -3.43, 8.786448189857808, -2010.0, 93.8, 0.08, -0.01, 671.0
-13.19, -4.71, 6.9126232105528365, -1920.0, 94.11, -0.07, -0.04, 645.0
-7.06, -4.23, 8.751867225459423, -2160.0, 94.95, -0.01, 0.06, 626.0
-4.23, -3.91, 23.87627151533266, -4319.999999999996, 91.51, -0.11, 0.16, 580.0
-8.62, -1.9, 19.492616795907256, -3029.9999999999964, 82.03, 0.15, 0.21, 520.0
-13.03, -0.57, 6.721030461407599, -1110.0, 86.37, 0.2, 0.31, 503.0
-14.13, -1.52, 12.529822796150153, -1980.0, 80.54, -0.14, 0.17, 483.0
-15.67, 0.33, 13.062230746522234, -1800.0, 80.65, -0.11, 0.25, 442.0
-18.0, 1.36, 8.712226751648394, -1020.0, 78.71, -0.06, 0.22, 424.0
-18.34, 1.01, 6.407122823399236, -780.0, 81.89, -0.15, 0.2, 434.0
-16.36, 1.78, 12.211906718945002, -1470.0, 80.17, 0.16, 0.18, 414.0
-7.88, 0.91, 9.577105231360068, -1170.0, 76.67, 0.13, 0.17, 381.0
-5.12, 0.38, 5.677371218783949, -720.0, 77.01, 0.01, 0.19, 341.0
-2.89, 0.26, 10.187395717229697, -1290.0, 73.89, 0.05, 0.14, 321.0
-4.59, 1.4, 9.842610900263333, -1080.0, 72.64, 0.04, 0.17, 273.0
-8.09, 1.19, 7.402179052340452, -780.0, 71.18, -0.02, 0.21, 271.0
-12.9, 1.42, 6.826634320039584, -660.0, 69.29, -0.05, 0.16, 258.0
-7.46, 0.67, 5.166897485536421, -570.0, 71.79, 0.03, 0.14, 276.0
-8.61, 2.3, 10.380669740213673, -990.0, 69.83, -0.02, 0.16, 234.0
-12.86, 4.67, 13.70300721766952, -1050.0, 64.82, 0.18, 0.19, 246.0
