#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-3.13, -5.49, 2.2243001192942744, -1380.0, 101.52, 0.28, 0.02, 457.0
-0.97, -6.14, 1.57297520548246, -1350.0, 99.33, -0.06, 0.04, 438.0
0.92, -4.88, 1.4555459870623029, -1110.0, 99.33, 0.04, -0.01, 407.0
5.35, -2.92, 4.048752980405604, -1230.0, 100.11, 0.17, 0.01, 384.0
11.52, -1.29, 4.205435369710651, -960.0, 98.99, 0.13, -0.04, 358.0
12.04, -0.71, 4.277962528589653, -870.0, 98.81, 0.1, -0.05, 344.0
12.02, 0.04, 5.983695986686318, -1020.0, 97.27, 0.16, 0.04, 317.0
11.23, 1.08, 4.247041402873755, -540.0, 96.52, 0.15, -0.01, 310.0
11.34, 1.76, 2.472377318751763, -120.0, 95.31, -0.02, -0.02, 302.0
8.5, 2.0, 4.176875850113678, -360.0, 93.59, 0.06, -0.01, 322.0
6.68, 1.55, 4.151378062103558, -420.0, 91.38, -0.04, 0.05, 303.0
4.53, 1.33, -0.002438247391028714, 210.0, 89.18, -0.13, -0.06, 298.0
2.36, 0.05, 0.24136149706424126, -30.0, 88.7, 0.02, -0.08, 275.0
-3.8, -1.58, 4.012976497017723, -870.0, 88.15, -0.04, -0.1, 288.0
-6.09, -1.38, 9.087855254625172, -1590.0, 86.42, 0.06, -0.04, 275.0
-4.45, -0.7, 16.128275634371303, -2460.0, 83.91, -0.04, 0.1, 255.0
-5.71, 0.9, 18.522914104653193, -2430.0, 79.26, 0.05, 0.2, 243.0
-2.42, -1.93, 7.8282751523215435, -1260.0, 73.41, -0.22, 0.13, 236.0
-3.0, -2.11, 4.546060131512364, -870.0, 74.12, -0.13, 0.15, 219.0
-1.79, -1.74, 8.466496095498961, -1290.0000000000034, 71.89, 0.15, 0.2, 200.0
-3.98, -3.88, 5.366983036452399, -1170.0000000000034, 71.9, -0.13, 0.15, 152.0
-4.97, -2.85, 1.759264940903742, -600.0, 73.73, -0.02, 0.2, 141.0
-10.95, -2.66, -0.4550748677553993, -300.0, 77.0, -0.01, 0.06, 117.0
-12.79, -0.99, 10.154597308001208, -1560.0, 79.7, 0.24, 0.06, 82.0
-12.93, 2.79, 15.144068624659702, -1680.0, 77.54, 0.17, 0.12, 46.0
-4.11, 1.85, 3.180523230041828, -180.0, 76.55, 0.08, 0.03, 36.0
1.07, 1.46, 1.46, 0.0, 78.63, 0.01, 0.04, 27.0
-1.26, 3.78, 6.175042982325516, -330.0, 77.98, 0.14, 0.13, 8.0
-0.24, 2.67, 0.9162413245618732, 240.0, 77.44, -0.04, 0.03, 5.0
-0.92, 3.21, -0.0715309449938033, 450.0, 77.63, 0.08, -0.03, 0.0
-0.56, 4.3, 6.020424034164401, -240.0, 78.94, 0.09, -0.01, 0.0
-0.8, 4.12, 7.6700140307541975, -480.0, 76.55, -0.02, 0.04, 0.0
