#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-21.35, 2.13, 6.609390784295941, -570.0, 72.07, 0.05, -0.01, 1714.0
-23.84, 1.05, 7.348349611672673, -780.0, 70.21, 0.03, 0.0, 1705.0
-22.35, 1.48, 7.265661820593824, -720.0, 70.53, 0.08, 0.01, 1682.0
-26.77, 1.91, 7.3906820596145595, -690.0, 71.34, -0.0, -0.01, 1671.0
-27.11, 3.78, 9.892419099532182, -750.0, 69.84, 0.22, 0.01, 1667.0
-28.29, 4.58, 11.373782723463858, -840.0, 70.12, 0.23, 0.03, 1655.0
-28.12, 2.6, 7.854575223860024, -630.0, 67.52, -0.04, -0.0, 1654.0
-31.85, 1.54, 6.217563275315805, -570.0, 69.08, 0.12, 0.0, 1651.0
-33.22, 0.31, 11.451829925469871, -1320.0, 66.84, 0.15, 0.02, 1623.0
-33.67, 1.55, 12.804031555558238, -1350.0, 68.06, 0.16, -0.0, 1597.0
-34.24, 1.03, 8.963070423650883, -960.0, 68.6, 0.15, 0.0, 1601.0
-31.1, -0.25, 7.701829413105875, -960.0, 68.37, 0.21, -0.03, 1583.0
-29.89, -1.02, 7.434956187369679, -1020.0, 68.34, 0.15, -0.02, 1562.0
-30.19, -1.59, 9.380055483965828, -1320.0, 68.33, 0.08, -0.04, 1541.0
-20.62, -1.59, 10.94288864842523, -1530.0, 69.94, 0.01, 0.0, 1500.0
-9.15, -0.34, 16.224543709312545, -2040.0, 70.66, 0.05, 0.0, 1472.0
-0.74, -0.35, 15.052681327860466, -1950.0, 72.5, 0.01, 0.09, 1439.0
-10.0, -1.11, 10.04660301778737, -1410.0, 71.96, 0.09, 0.02, 1420.0
-7.42, -1.24, 7.0982388557992575, -1020.0, 69.7, 0.01, 0.06, 1404.0
-2.85, -1.16, 3.481239457483028, -570.0, 69.85, 0.01, 0.03, 1399.0
-0.6, -1.25, 4.150947991967615, -690.0, 72.39, 0.03, 0.03, 1394.0
0.62, -1.29, 5.057301587348152, -840.0, 75.03, -0.2, 0.02, 1392.0
2.71, 0.44, 9.184261273905541, -1140.0, 74.05, 0.14, 0.05, 1375.0
0.05, -0.16, 8.650931621041382, -1110.0, 71.56, 0.27, 0.1, 1361.0
-0.53, 1.1, 4.865766352963197, -480.0, 72.17, 0.05, 0.07, 1359.0
-1.38, 2.66, 5.171711681222572, -330.0, 74.36, 0.05, 0.02, 1355.0
-0.77, 1.9, 4.8635783880675225, -390.0, 74.49, -0.03, 0.03, 1346.0
-2.31, 2.71, 5.63312347187264, -390.0, 75.52, -0.06, -0.04, 1337.0
-1.13, 2.3, 6.8021762390781495, -600.0, 75.48, -0.1, 0.03, 1343.0
-2.25, 1.14, 6.663232825575136, -720.0, 73.87, -0.07, 0.01, 1349.0
-3.48, 0.76, 6.81255198357399, -780.0, 73.05, -0.05, -0.02, 1336.0
-0.6, 0.99, 8.274356120316424, -930.0, 72.43, -0.01, 0.02, 1322.0
