#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-7.26, -1.61, 3.6738190270368802, -690.0, 73.99, -0.11, 0.08, 576.0
-6.11, -1.16, 1.1368452707616428, -300.0, 73.92, 0.08, -0.03, 544.0
-4.15, -0.97, 0.3954918994042693, -180.0, 74.59, 0.06, 0.0, 545.0
-3.8, -1.47, 1.2728000318814876, -360.0, 74.29, -0.01, 0.02, 543.0
-2.13, -1.69, 0.9266430936183361, -330.0, 71.38, -0.09, -0.0, 528.0
-1.16, -1.47, 0.9304948355937392, -300.0, 70.73, -0.01, -0.01, 522.0
-1.07, -2.85, 3.294698836293375, -750.0, 69.32, -0.18, 0.03, 503.0
-0.97, -2.94, 6.495775611604607, -1110.0, 65.99, -0.1, 0.07, 483.0
-3.81, -0.91, 6.640369802263581, -870.0, 63.88, 0.07, 0.0, 471.0
-2.44, -1.83, 2.610520458247608, -510.0, 63.4, -0.03, 0.02, 458.0
-0.99, -2.85, 1.3099988951086554, -480.0, 63.82, 0.03, 0.0, 431.0
-0.66, -3.7, 3.729329940501848, -840.0, 62.12, -0.01, 0.02, 417.0
-9.37, -3.99, 9.185244639069623, -1440.0, 59.6, -0.13, 0.06, 403.0
-14.36, -2.86, 12.254659524640058, -1620.0, 58.12, -0.06, 0.09, 382.0
-12.43, -5.62, 6.310327592460042, -1260.0, 56.46, -0.17, 0.09, 363.0
-8.42, -7.0, 15.213543767603479, -2400.0, 60.03, -0.06, 0.07, 359.0
-1.16, -5.16, 18.08975745332891, -2460.0, 58.39, 0.07, 0.14, 295.0
-1.05, -6.25, 8.134603981124043, -1560.0, 59.06, -0.02, 0.08, 275.0
-4.75, -4.46, 9.826581245585682, -1590.0, 61.37, 0.07, 0.11, 245.0
-3.67, -5.79, 4.944809455813821, -1200.0, 61.36, -0.04, 0.1, 225.0
-3.52, -5.78, 9.518409088052515, -1680.0, 60.3, -0.04, 0.09, 199.0
-4.22, -4.25, 8.747118034131919, -1440.0, 60.8, -0.0, 0.08, 166.0
-4.46, -4.14, 0.8936888073237892, -570.0, 62.12, -0.04, 0.05, 148.0
-3.03, -4.5, 1.253560288643337, -660.0, 63.35, 0.09, 0.06, 131.0
-2.66, -3.9, 3.727581864191603, -870.0, 62.94, 0.08, 0.07, 86.0
-2.65, -0.98, 4.731600900467022, -660.0, 64.03, -0.0, 0.04, 73.0
-4.31, -0.86, 3.34832410553638, -480.0, 62.75, -0.04, -0.01, 51.0
-0.11, -1.02, 3.18284858080377, -480.0, 62.87, 0.04, 0.02, 42.0
-2.1, -1.08, 3.595070464198698, -540.0, 63.94, -0.01, 0.04, 47.0
-1.04, 1.18, 6.150611271135103, -570.0, 63.28, 0.05, 0.04, 21.0
-0.21, 3.2, 6.737591792116339, -390.0, 59.64, 0.1, 0.0, 16.0
-0.09, 3.9, 6.065187159782275, -240.0, 60.09, 0.01, 0.01, 16.0
