#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-22.2, -3.23, 3.9755832700423466, -840.0, 64.95, 0.03, 0.02, 804.0
-22.8, -2.78, 4.207083090736493, -810.0, 64.41, 0.12, 0.02, 791.0
-23.44, -2.7, 4.320130637179673, -810.0, 63.97, 0.13, 0.01, 782.0
-24.1, -3.0, 6.342300513053873, -1080.0, 64.33, 0.07, 0.03, 768.0
-24.75, -4.11, 5.309260569261302, -1080.0, 63.57, 0.1, 0.0, 718.0
-23.44, -4.41, 3.4225767370609823, -900.0, 63.64, 0.06, 0.0, 698.0
-22.2, -4.87, 3.770212239171058, -990.0, 63.44, 0.02, 0.04, 679.0
-22.37, -5.94, 3.1709132968573472, -1050.0, 64.02, 0.01, 0.03, 649.0
-21.07, -5.88, 2.915405694402902, -1020.0, 64.58, 0.1, -0.0, 631.0
-17.22, -6.05, 1.6364662048366991, -900.0, 65.4, 0.06, -0.04, 612.0
-15.27, -6.22, 2.1604497706849335, -990.0, 66.3, 0.02, 0.03, 604.0
-12.66, -6.39, 2.7701400163236807, -1080.0, 66.18, -0.0, 0.0, 585.0
-8.15, -6.61, 2.255305904442719, -1050.0, 66.59, 0.02, 0.02, 568.0
-5.34, -7.8, 0.50019002125818, -990.0, 67.22, -0.04, 0.01, 562.0
-6.6, -7.47, 5.60147582730582, -1560.0, 67.78, 0.03, 0.01, 543.0
-8.17, -6.51, 16.49784588405216, -2640.0, 65.76, -0.02, 0.12, 521.0
-8.35, -8.76, 16.709243027329514, -2850.0, 63.97, -0.1, 0.08, 455.0
-7.53, -8.53, 9.36501122052521, -2070.0, 65.51, 0.03, 0.12, 413.0
-6.77, -7.65, 4.106669888724586, -1380.0, 66.02, 0.08, 0.09, 389.0
-5.43, -7.47, 2.8762902444030454, -1230.0, 67.09, -0.01, 0.11, 357.0
-4.55, -6.27, 3.0263147400099744, -1110.0, 67.41, 0.07, 0.09, 369.0
-5.6, -6.25, 1.9918521542792682, -990.0, 67.9, -0.03, 0.08, 350.0
-6.8, -6.24, 3.029302748282017, -1110.0, 67.69, 0.01, 0.11, 334.0
-6.9, -5.86, 3.512403183087243, -1110.0, 66.63, -0.01, 0.11, 369.0
-7.81, -5.9, 1.4194483269937237, -870.0, 66.81, -0.04, 0.07, 350.0
-6.14, -6.19, 2.2089887931119128, -990.0, 66.09, -0.06, 0.08, 333.0
-6.67, -4.72, 5.2805831098714835, -1170.0, 65.52, 0.07, 0.12, 312.0
-5.33, -4.65, 2.790603869658736, -870.0, 65.25, 0.02, 0.08, 297.0
-2.08, -4.31, 0.8165787115490497, -600.0, 65.2, 0.05, 0.08, 257.0
-5.33, -3.61, 3.328092511908442, -809.9999999999966, 65.07, 0.01, 0.09, 212.0
-3.05, -3.6, 2.167267916717717, -659.9999999999966, 63.13, -0.03, 0.13, 199.0
-2.69, -4.0, -1.6631601156917646, -270.0, 63.89, -0.04, 0.07, 187.0
