#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
3.86, 10.73, 2.2802735057344883, 990.0, 65.52, -0.04, -0.06, 1043.0
1.47, 9.37, 3.5532296786956215, 690.0, 66.52, -0.09, -0.06, 1048.0
0.18, 7.04, 4.290971802099131, 330.0, 67.54, 0.04, -0.1, 1053.0
-1.97, 5.0, 3.318001411403367, 210.0, 70.65, -0.05, -0.01, 1056.0
-1.49, 5.09, 4.137579466684525, 120.0, 71.29, 0.02, -0.04, 1058.0
-1.01, 7.22, 5.293266252923598, 240.0, 70.49, 0.03, 0.01, 1064.0
-1.38, 10.99, 5.671283138871425, 660.0, 70.31, 0.11, -0.05, 1076.0
-5.91, 13.18, 4.555590372171238, 1080.0, 71.12, -0.04, -0.05, 1090.0
-3.77, 15.96, 6.978736500403572, 1080.0, 68.07, 0.02, -0.01, 1118.0
-2.13, 13.21, 3.494439385853809E-4, 1560.0, 66.78, -0.17, -0.03, 1135.0
9.26, 8.03, -1.8393644758772911, 1200.0, 69.24, -0.17, -0.08, 1142.0
13.68, 6.26, 6.500319736686535, -30.0, 70.63, -0.09, -0.07, 1142.0
20.19, 4.48, 8.785433201645468, -540.0, 71.03, -0.09, -0.04, 1138.0
28.23, 2.32, 7.318612983965949, -660.0, 74.8, 0.08, -0.04, 1121.0
29.95, 1.21, 6.721587143720369, -750.0, 77.11, 0.02, -0.01, 1110.0
17.0, 4.31, 15.371091470938804, -1530.0, 78.75, 0.46, 0.07, 1099.0
8.98, 8.56, 17.26634344050138, -1140.0, 74.37, 0.36, 0.16, 1101.0
7.82, 7.32, -0.6222640366715977, 1050.0, 75.04, -0.03, 0.04, 1110.0
1.24, 8.45, -4.133176962406335, 1740.0, 78.87, 0.04, -0.07, 1115.0
-1.48, 9.06, 4.180246901544842, 690.0, 80.1, 0.06, -0.03, 1123.0
-2.57, 10.33, 7.5382222002431885, 390.0, 79.07, 0.12, -0.01, 1136.0
-3.22, 11.63, 5.974491893795807, 780.0, 78.16, 0.08, -0.02, 1150.0
-6.65, 12.62, 5.5239547966965645, 960.0, 76.74, 0.12, -0.04, 1169.0
-6.0, 14.77, 5.873694367437913, 1170.0, 74.71, 0.23, -0.03, 1190.0
-4.99, 13.37, 1.8425972702500513, 1470.0, 72.64, -0.17, -0.01, 1216.0
-7.12, 12.38, 1.7128455437630965, 1350.0, 72.02, -0.21, 0.0, 1238.0
-8.59, 13.48, 5.5622891154837655, 990.0, 70.97, -0.03, -0.03, 1250.0
-7.98, 12.81, 6.108944344987586, 810.0, 68.4, -0.05, -0.05, 1266.0
-6.53, 12.0, 6.577955953511966, 660.0, 69.01, -0.06, -0.03, 1279.0
-2.92, 11.11, 7.354274459881881, 450.0, 67.39, -0.06, -0.0, 1290.0
0.03, 10.0, 3.904551481511878, 720.0, 66.13, -0.15, -0.04, 1301.0
0.33, 10.2, 4.1525998183643855, 750.0, 70.3, -0.03, -0.05, 1308.0
