#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-11.02, -4.17, 1.8728049458934013, -690.0, 62.94, 0.12, -0.03, 599.0
-10.56, -6.46, -0.7355066266870871, -660.0, 63.82, -0.14, 0.07, 600.0
-14.73, -6.51, -0.10169711956679706, -750.0, 65.27, -0.03, 0.0, 586.0
-15.91, -6.21, 1.8358297371888357, -930.0, 64.21, 0.13, -0.01, 587.0
-13.59, -6.8, -0.45554447722520663, -750.0, 66.22, 0.03, 0.02, 572.0
-7.89, -9.12, -4.108012288601555, -600.0, 67.36, -0.1, -0.02, 586.0
-6.91, -7.11, 0.6068707016670416, -930.0, 68.18, 0.06, -0.05, 568.0
-10.2, -6.69, 0.5377043352996775, -900.0, 70.64, 0.06, 0.02, 541.0
-9.7, -6.42, -1.4499986574471304, -630.0, 71.81, 0.14, 0.02, 528.0
-7.14, -7.26, -1.1638906699386116, -780.0, 72.53, 0.04, -0.04, 497.0
-6.24, -6.94, 0.09964197874768477, -870.0, 70.1, 0.26, -0.04, 484.0
-8.28, -8.56, -2.937651372607471, -690.0, 69.83, -0.35, 0.1, 462.0
-8.92, -6.98, -4.775615892833347, -270.0, 69.5, 0.04, 0.01, 448.0
2.6, -10.38, -10.861871776667911, 60.0, 70.45, -0.39, -0.23, 415.0
-2.44, -11.81, 12.320519491113076, -2970.0, 71.74, -0.06, -0.11, 388.0
-17.62, -8.17, 35.41576246507132, -4890.0, 70.04, -0.07, 0.12, 316.0
-16.74, -6.73, 22.148311478240984, -3210.0, 64.24, 0.06, 0.17, 288.0
-13.51, -5.46, 12.556215956556095, -2100.0, 66.26, -0.01, 0.12, 238.0
-15.44, -5.34, 7.229617672090283, -1440.0, 63.82, 0.29, 0.12, 222.0
-20.57, -4.64, 5.648197919082329, -1200.0, 65.26, 0.04, 0.2, 204.0
-15.93, -7.76, -2.7618524215783182, -570.0, 62.77, -0.0, 0.07, 209.0
-12.24, -8.03, 5.836343783242521, -1649.9999999999966, 67.6, -0.07, 0.1, 167.0
-11.8, -6.75, 5.762399733524504, -1439.9999999999966, 64.24, 0.05, 0.14, 155.0
-15.15, -5.16, -8.541260718141064, 420.0, 70.32, 0.01, 0.01, 143.0
-15.35, -4.48, -3.7846231078210915, -90.0, 73.23, 0.01, -0.01, 99.0
-10.7, -3.26, 4.118589951724143, -930.0, 71.51, 0.06, 0.01, 94.0
-10.02, -3.19, 4.335368100114323, -900.0, 67.42, 0.07, -0.0, 82.0
-6.25, -1.66, 4.392260921846779, -720.0, 66.81, 0.1, 0.03, 59.0
-3.08, -1.71, 3.808629399632811, -630.0, 62.89, 0.04, 0.0, 52.0
0.12, -1.29, 2.9795110896128962, -480.0, 61.43, 0.04, 0.04, 57.0
-2.36, -0.41, 3.1196645116132458, -390.0, 59.84, 0.01, -0.0, 33.0
-2.16, -0.02, 3.665906400578944, -420.0, 62.64, -0.04, 0.0, 28.0
