#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-15.78, 5.14, 6.248449267056993, -150.0, 76.57, 0.03, -0.01, 1099.0
-15.96, 5.09, 6.680355874539594, -210.0, 74.72, 0.01, -0.01, 1097.0
-17.0, 4.71, 5.397119421134436, -90.0, 74.11, 0.01, -0.03, 1102.0
-16.73, 4.54, 5.453710278551093, -120.0, 74.31, 0.04, -0.01, 1098.0
-15.72, 4.27, 5.66523925285073, -180.0, 73.0, -0.02, -0.03, 1094.0
-14.44, 4.19, 5.584857024695275, -180.0, 73.02, 0.02, -0.03, 1096.0
-9.83, 4.26, 6.573441368195872, -300.0, 73.39, -0.02, -0.06, 1082.0
-6.75, 4.32, 8.958900285491758, -600.0, 73.26, -0.04, -0.03, 1075.0
-2.4, 3.68, 8.6320266864673, -630.0, 72.07, -0.04, -0.04, 1068.0
-5.65, 3.08, 6.59061563594499, -450.0, 72.57, -0.12, -0.02, 1062.0
-5.87, 5.06, 9.309687508107373, -540.0, 71.96, 0.11, -0.02, 1052.0
-2.38, 4.04, 8.076795236374988, -510.0, 71.54, -0.07, -0.02, 1040.0
-5.82, 2.78, 8.572254230703768, -720.0, 70.45, -0.07, -0.04, 1031.0
-6.79, 1.88, 12.302572980897423, -1260.0, 68.73, -0.08, 0.05, 1019.0
-3.82, 0.97, 15.127867026360809, -1680.0, 67.37, -0.17, 0.13, 997.0
-7.62, 2.56, 18.20086637823862, -1770.0, 63.09, -0.05, 0.12, 979.0
-10.44, 5.15, 18.328255172529722, -1440.0, 59.58, 0.25, 0.15, 967.0
-11.52, -0.6, 6.749625600238658, -810.0, 59.8, -0.28, 0.12, 946.0
-14.55, -0.82, 7.609446086316781, -960.0, 62.86, -0.09, 0.12, 925.0
-10.62, -0.22, 11.939613531435988, -1350.0, 60.89, 0.03, 0.12, 890.0
-6.71, -1.81, 10.300287048518157, -1380.0, 63.27, -0.03, 0.11, 880.0
-4.19, -1.91, 12.416867878445784, -1620.0, 62.83, 0.01, 0.13, 857.0
-7.71, -0.51, 12.455361931169028, -1500.0, 64.79, 0.04, 0.11, 823.0
-7.5, -1.4, 9.408644957787079, -1260.0, 65.26, -0.1, 0.14, 800.0
-7.62, -1.75, 10.016662915372656, -1380.0, 65.94, -0.04, 0.12, 775.0
-7.92, -1.43, 12.17662388691602, -1590.0, 65.82, 0.08, 0.15, 747.0
-6.36, -1.68, 12.044001841662341, -1590.0, 65.02, 0.03, 0.13, 722.0
-5.53, -0.89, 11.804832324951446, -1470.0, 64.84, 0.04, 0.14, 679.0
-6.81, -0.71, 10.243362064107899, -1290.0, 66.25, -0.03, 0.16, 658.0
-9.13, -0.6, 10.412211507941604, -1320.0, 67.96, -0.01, 0.16, 634.0
-8.35, 0.35, 9.936823848613928, -1140.0, 67.04, 0.09, 0.1, 593.0
-7.0, 0.59, 9.334591873494688, -1080.0, 70.15, 0.08, 0.15, 573.0
