#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-20.34, 2.13, 8.143912982497376, -750.0, 70.69, 0.09, -0.0, 738.0
-19.79, 3.49, 9.851762042659418, -780.0, 69.78, 0.15, 0.01, 726.0
-22.95, 4.12, 10.514739685662228, -780.0, 69.27, 0.1, 0.04, 735.0
-23.07, 4.46, 9.41456632658136, -600.0, 68.48, 0.11, 0.03, 726.0
-24.47, 4.5, 7.470366700794137, -360.0, 68.48, 0.09, 0.02, 735.0
-23.29, 3.65, 5.886012449670427, -270.0, 68.1, 0.03, -0.0, 714.0
-21.91, 3.14, 6.886434518672857, -450.0, 67.63, 0.03, 0.0, 704.0
-23.09, 2.76, 8.823000237077729, -720.0, 66.64, 0.01, 0.02, 704.0
-22.88, 2.29, 9.1718001852444, -810.0, 65.84, 0.03, 0.03, 661.0
-21.99, 2.13, 7.955290934889995, -690.0, 66.38, 0.11, 0.03, 648.0
-23.01, 1.31, 6.577639302634692, -630.0, 67.28, 0.04, -0.0, 652.0
-22.75, 2.8, 12.558915362589499, -1170.0, 67.85, 0.05, 0.03, 631.0
-22.12, 5.09, 20.571448327028737, -1770.0, 64.02, 0.03, 0.16, 617.0
-20.63, 1.65, 13.244577568047502, -1290.0, 61.02, -0.11, 0.11, 575.0
-22.61, 0.08, 8.8444277760469, -1020.0, 64.91, -0.03, 0.06, 553.0
-22.69, 1.58, 16.796385972970885, -1770.0, 65.61, 0.02, 0.17, 498.0
-21.25, 0.94, 15.822689352359072, -1680.0, 62.75, 0.03, 0.14, 476.0
-22.77, 1.43, 13.158034937468859, -1380.0, 66.25, 0.03, 0.16, 450.0
-22.24, 2.74, 14.195029017201389, -1350.0, 66.37, 0.16, 0.13, 449.0
-23.57, 3.77, 9.789022834953405, -720.0, 67.34, 0.21, 0.12, 430.0
-22.26, 4.28, 6.211943107338286, -240.0, 70.3, 0.22, 0.07, 445.0
-21.46, 5.64, 6.813922604612461, -150.0, 72.3, 0.21, 0.06, 435.0
-20.38, 6.3, 7.011605769245778, -90.0, 71.56, 0.17, 0.04, 397.0
-19.02, 5.27, 4.79320423765151, 60.0, 71.2, 0.01, 0.02, 396.0
-20.09, 4.63, 7.8095008892577855, -390.0, 69.67, -0.0, 0.03, 387.0
-18.06, 2.9, 13.539141078472856, -1230.0, 64.46, -0.19, 0.15, 383.0
-19.16, 3.24, 14.884125797093024, -1290.0, 60.64, 0.01, 0.14, 371.0
-18.91, 1.35, 8.187139132646283, -750.0, 59.35, -0.06, 0.12, 345.0
-17.34, -0.02, 5.629872146276928, -630.0, 60.75, -0.01, 0.1, 328.0
-12.43, -0.53, 6.712019325610722, -810.0, 61.12, 0.0, 0.11, 345.0
-5.73, -1.49, 4.671189263091892, -690.0, 61.17, 0.08, 0.07, 330.0
-3.55, -2.58, 2.822826899655718, -600.0, 60.37, -0.05, 0.11, 289.0
