#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-4.42, 5.94, 4.749276437854691, 150.0, 71.28, 0.0, -0.1, 1003.0
-4.91, 7.24, 6.524393990901781, 90.0, 71.16, 0.04, -0.05, 1009.0
-6.37, 7.86, 6.412604346254264, 180.0, 70.37, -0.05, -0.01, 1015.0
-12.4, 7.49, 4.545792842349783, 360.0, 69.35, -0.05, -0.03, 1005.0
-20.12, 5.36, 2.0239479705271326, 390.0, 65.02, -0.02, 0.01, 1014.0
-27.5, 5.1, 1.9477355658151785, 360.0, 62.83, 0.03, -0.05, 1037.0
-25.97, 1.72, -1.2258492019993776, 330.0, 61.06, -0.1, -0.08, 1041.0
-27.26, -2.08, -2.08, 0.0, 62.34, -0.11, -0.06, 1049.0
-24.07, -2.11, 1.2737065081617698, -390.0, 63.69, 0.05, -0.07, 1030.0
-25.17, -3.87, 1.4399959261231823, -630.0, 66.51, 0.0, -0.06, 1019.0
-27.62, -5.01, 2.7701629195915993, -930.0, 67.39, -0.1, -0.08, 995.0
-27.88, -3.89, 6.050687123417006, -1230.0, 70.36, 0.19, -0.03, 975.0
-23.98, -4.87, 5.523554391501263, -1290.0, 70.61, 0.02, 0.0, 935.0
-19.85, -5.78, 4.697440849277892, -1320.0, 71.68, 0.04, -0.08, 912.0
-16.37, -6.72, 9.077653446673008, -1980.0, 71.82, -0.22, -0.03, 897.0
-12.61, -3.25, 23.766971230231146, -3330.0, 72.39, 0.09, 0.19, 869.0
-7.13, -4.28, 21.184665576845727, -2880.0, 64.97, -0.16, 0.2, 841.0
-13.29, -3.33, 10.12418559880438, -1590.0, 66.88, -0.07, 0.17, 820.0
-13.16, -2.94, 10.716625238335865, -1620.0, 67.27, 0.07, 0.2, 792.0
-14.5, -3.77, 9.940852113267503, -1650.0, 68.68, -0.09, 0.17, 784.0
-16.75, -2.58, 10.98130722819012, -1680.0, 70.75, -0.02, 0.19, 756.0
-17.53, -1.32, 12.764804078412809, -1800.0, 73.04, -0.01, 0.19, 716.0
-17.12, -0.68, 11.735261526530802, -1590.0, 73.03, 0.04, 0.2, 690.0
-16.49, -1.31, 8.945230202750713, -1350.0, 74.88, 0.04, 0.17, 675.0
-16.2, -0.4, 11.097326970437612, -1530.0, 75.8, 0.14, 0.18, 649.0
-15.42, 0.88, 12.15105778877064, -1470.0, 74.27, -0.01, 0.21, 639.0
-9.98, 0.25, 6.693014920517578, -840.0, 73.92, 0.07, 0.17, 619.0
-9.98, -0.7, 7.045927259770131, -1050.0, 76.93, -0.18, 0.21, 613.0
-9.81, 1.32, 11.543613843728956, -1320.0, 73.44, 0.07, 0.17, 600.0
-8.23, 0.19, 5.721495418117295, -720.0, 73.76, -0.06, 0.19, 585.0
-5.02, -0.93, 6.660528701400574, -990.0, 74.01, -0.11, 0.16, 532.0
-6.1, 0.74, 11.874662528867464, -1410.0, 72.1, 0.04, 0.21, 513.0
