#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-13.44, 0.73, 4.600433435484508, -510.0, 74.61, -0.05, 0.02, 532.0
-11.96, 1.22, 3.945543579861819, -360.0, 74.76, 0.03, 0.01, 523.0
-8.99, 0.89, 2.653554205991652, -240.0, 77.01, -0.12, 0.01, 516.0
-10.7, 1.35, 4.004477361193674, -360.0, 76.76, 0.16, 0.02, 507.0
-11.48, 1.01, 5.147161599500126, -570.0, 78.02, 0.15, 0.0, 499.0
-11.98, -0.15, 2.019408329847672, -300.0, 78.26, -0.11, -0.02, 496.0
-10.47, -0.19, 2.339811219449883, -360.0, 80.54, -0.0, -0.06, 487.0
-6.32, 0.55, 6.007279276626816, -780.0, 80.99, 0.01, -0.01, 470.0
-5.14, 1.07, 7.2402866320854935, -870.0, 79.93, 0.09, -0.03, 460.0
-3.12, 1.85, 8.778176118764831, -960.0, 78.59, 0.1, 0.04, 452.0
-1.85, 1.86, 6.846466733760642, -690.0, 78.39, 0.05, 0.04, 434.0
-4.54, 2.46, 4.89028060132344, -330.0, 76.85, 0.05, 0.0, 428.0
-5.38, 2.46, 6.690591933969885, -570.0, 76.3, 0.19, 0.0, 414.0
-0.38, 1.31, 5.536737965129381, -540.0, 72.35, -0.12, 0.04, 417.0
-3.59, 1.61, 7.070942681172761, -720.0, 74.71, -0.08, 0.07, 411.0
-7.31, 2.93, 16.09140791635262, -1680.0, 72.86, -0.01, 0.18, 400.0
-7.56, 2.57, 17.27177487376576, -1680.0, 63.86, -0.1, 0.18, 390.0
-6.8, 1.07, 7.397880680604068, -720.0, 62.63, -0.16, 0.16, 380.0
-8.85, 1.6, 8.649685900193667, -810.0, 63.58, 0.03, 0.16, 369.0
-8.59, 1.9, 11.154599352820865, -1050.0, 62.58, -0.01, 0.19, 355.0
-10.09, 1.58, 9.230888314490084, -870.0, 62.66, -0.1, 0.11, 341.0
-9.12, 0.77, 9.932280090198484, -1050.0, 63.5, -0.04, 0.22, 322.0
-9.49, 0.03, 5.628850658399835, -630.0, 61.57, -0.11, 0.13, 309.0
-14.36, 1.66, 7.296047623320415, -660.0, 65.28, -0.0, 0.18, 291.0
-12.26, 2.22, 12.307854243360081, -1140.0, 62.29, 0.05, 0.12, 275.0
-9.35, 2.45, 9.777220894276285, -840.0, 63.39, 0.07, 0.17, 262.0
-8.23, 2.32, 8.372002424699437, -690.0, 62.8, -0.04, 0.12, 250.0
-7.59, 2.9, 6.79916491105736, -450.0, 63.83, 0.05, 0.16, 236.0
-5.67, 1.52, 2.0301497485203828, -60.0, 65.54, -0.0, 0.09, 225.0
-4.98, 0.88, 5.708734913745428, -570.0, 66.0, -0.01, 0.09, 209.0
-1.91, 1.57, 7.352335502815503, -690.0, 67.09, 0.11, 0.06, 187.0
-2.56, 1.56, 3.732308842861566, -270.0, 70.34, 0.07, 0.04, 177.0
