#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-1.19, 0.29, 6.581015640287412, -750.0, 67.03, -0.02, -0.1, 1046.0
-2.91, -1.7, 11.20208918207746, -1530.0, 67.14, -0.06, -0.02, 1005.0
-10.35, -3.0, 18.190893652632553, -2460.0, 66.48, 0.0, 0.08, 946.0
-0.87, -4.45, 4.1053497753924, -1020.0, 67.2, -0.01, 0.01, 915.0
-0.18, -3.43, -1.285147608313331, -270.0, 71.24, 0.04, -0.07, 894.0
-1.65, -2.59, 5.7318112291093435, -1050.0, 71.64, 0.07, -0.0, 881.0
2.71, -2.27, 6.176492855130986, -1050.0, 70.59, 0.03, 0.01, 867.0
3.2, -2.35, 1.9718926777713714, -540.0, 70.76, -0.04, 0.01, 871.0
2.24, -2.1, 0.4616964145411395, -330.0, 72.91, -0.04, -0.06, 860.0
3.18, -1.72, 2.9214400678334913, -600.0, 73.22, 0.01, -0.08, 850.0
-2.83, -3.9, 3.527845328614204, -960.0, 73.33, -0.07, -0.0, 839.0
-8.8, -5.09, 7.356428706254826, -1590.0, 72.85, -0.1, 0.05, 825.0
-9.9, -2.77, 14.326365085710943, -2100.0, 70.54, 0.01, 0.11, 811.0
-10.27, -1.72, 18.692266321267645, -2400.0, 67.55, -0.14, 0.09, 790.0
-11.4, -1.93, 19.654659738766604, -2460.0, 64.81, -0.08, 0.15, 757.0
-9.99, -3.13, 19.86680339443065, -2610.0, 64.72, -0.04, 0.13, 728.0
-12.96, -2.65, 21.260721901433936, -2700.0, 64.45, 0.05, 0.14, 696.0
-13.85, -3.23, 17.153753041386565, -2400.0, 67.68, -0.03, 0.13, 657.0
-11.18, -4.02, 13.049039234453346, -2040.0, 68.52, -0.16, 0.14, 636.0
-10.46, -6.59, 6.347965425575005, -1620.0, 71.45, -0.11, 0.14, 603.0
-7.38, -7.35, 5.345773179804155, -1620.0, 72.79, -0.04, 0.15, 576.0
-10.61, -5.86, 8.980066342501331, -1890.0, 72.87, -0.01, 0.18, 553.0
-11.69, -5.42, 6.067725738040613, -1440.0, 71.4, -0.11, 0.17, 529.0
-10.18, -7.03, 7.258623159332061, -1860.0, 74.42, -0.02, 0.1, 513.0
-3.36, -5.97, 0.33930579535640604, -840.0, 75.48, 0.17, -0.0, 479.0
-3.07, -1.6, -3.004088689852506, 210.0, 84.63, 0.34, -0.07, 459.0
-2.44, 3.65, 8.62047320232026, -750.0, 85.48, 0.34, 0.04, 469.0
-2.22, 8.0, 6.801343666879496, 180.0, 84.97, 0.35, -0.0, 476.0
-2.52, 8.01, -2.2396143811670868, 1530.0, 84.91, -0.15, -0.01, 509.0
-1.72, 7.72, -3.5135162625955614, 1680.0, 85.16, -0.0, -0.01, 529.0
1.08, 8.38, 0.5065963334724355, 1140.0, 82.18, -0.01, 0.02, 565.0
-0.46, 8.85, 2.058576323948201, 990.0, 82.67, 0.11, -0.04, 592.0
