#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-1.36, 0.44, 3.9141270524983724, -480.0, 78.22, -0.01, -0.0, 566.0
-3.35, 0.15, 4.468712917787349, -600.0, 78.68, 0.01, -0.02, 555.0
-9.85, 0.32, 7.7925141367457025, -1020.0, 77.45, -0.02, 0.06, 545.0
-15.51, 0.94, 7.176304887450991, -840.0, 76.36, 0.04, 0.06, 536.0
-17.29, 1.69, 3.6524129340971863, -270.0, 77.86, 0.17, 0.02, 529.0
-19.85, 1.46, 2.105975878465814, -90.0, 78.83, 0.16, -0.07, 523.0
-21.07, 1.26, 3.0020573340278927, -240.0, 77.96, 0.06, -0.01, 517.0
-24.68, 1.09, 4.578415801549319, -480.0, 77.9, 0.04, 0.01, 511.0
-27.08, -0.32, 3.653648606000918, -540.0, 76.95, -0.07, -0.02, 505.0
-27.99, -0.6, 3.6117896953439614, -570.0, 76.64, 0.1, -0.01, 497.0
-27.07, -1.54, 2.8788743352435624, -600.0, 76.9, 0.09, -0.04, 484.0
-27.69, -1.86, 2.6750898108932475, -630.0, 78.68, 0.1, -0.01, 471.0
-25.81, -1.92, 2.9384724524158985, -690.0, 80.45, 0.06, -0.02, 460.0
-21.18, -2.24, 6.981519000961617, -1320.0, 81.34, 0.07, -0.0, 441.0
-10.65, -2.69, 12.431416279007372, -2130.0, 80.63, 0.02, -0.07, 407.0
-4.13, 0.97, 22.120509476424342, -2880.0, 78.82, 0.2, 0.21, 390.0
1.92, -0.11, 18.50592349033136, -2160.0, 65.93, -0.04, 0.22, 379.0
0.57, 1.26, 7.081636183322732, -690.0, 66.44, 0.02, 0.13, 365.0
-2.25, 0.08, 5.931618451253699, -690.0, 65.95, -0.09, 0.14, 343.0
-5.49, -0.02, 8.098782444435672, -960.0, 66.37, -0.09, 0.19, 325.0
-12.05, 1.67, 12.690473029096717, -1260.0, 63.46, 0.03, 0.14, 308.0
-13.43, 1.82, 10.065072422105292, -930.0, 61.96, -0.21, 0.16, 291.0
-10.33, 1.71, 6.6931113950693, -600.0, 67.92, 0.07, 0.13, 275.0
-12.08, 2.0, 13.832037039426393, -1380.0, 65.42, -0.04, 0.19, 262.0
-16.09, 4.24, 13.57640949708539, -1050.0, 61.78, -0.01, 0.16, 238.0
-13.38, 1.75, 4.3045161471403155, -300.0, 65.43, -0.03, 0.12, 227.0
-12.99, 3.71, 11.034799948059995, -870.0, 66.74, 0.12, 0.19, 213.0
-11.69, 3.04, 11.90089349824617, -1020.0, 63.89, 0.03, 0.14, 197.0
-8.34, 2.98, 9.429295290574878, -750.0, 64.67, 0.02, 0.16, 184.0
-8.95, 3.45, 8.62588846539608, -600.0, 64.3, 0.03, 0.14, 172.0
-7.59, 2.67, 8.893458425633407, -720.0, 64.17, -0.16, 0.11, 163.0
-5.78, 3.74, 10.849551302604489, -810.0, 62.8, 0.07, 0.15, 150.0
