#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-13.58, 0.02, 4.744648209682647, -630.0, 75.53, 0.05, 0.02, 520.0
-22.2, 1.09, 8.407463942141094, -960.0, 74.43, 0.11, 0.1, 514.0
-22.07, 1.41, 3.497681473812161, -270.0, 73.19, 0.08, 0.06, 507.0
-24.42, 1.04, -2.307140629847498, 450.0, 76.11, 0.15, -0.05, 503.0
-28.05, 2.09, 2.5279795778631375, -60.0, 77.51, 0.15, -0.0, 500.0
-28.8, 5.46, 9.296955282618729, -510.0, 75.26, 0.25, 0.02, 498.0
-31.6, 6.08, 7.488166084039791, -180.0, 72.33, 0.11, -0.0, 500.0
-34.53, 5.14, 6.102275012235756, -120.0, 70.56, 0.01, 0.0, 501.0
-33.66, 5.19, 9.39992190335321, -510.0, 68.48, 0.06, 0.07, 500.0
-34.87, 5.68, 15.127753914211013, -1110.0, 65.87, -0.03, 0.1, 494.0
-32.71, 6.16, 18.745758235714792, -1410.0, 61.76, -0.05, 0.16, 480.0
-24.29, 0.29, 17.175078056472177, -1800.0, 57.9, 0.03, 0.04, 459.0
-11.68, 3.15, 25.797482254260075, -2460.0, 60.6, 0.1, 0.25, 415.0
-5.97, -1.45, 12.556270824450548, -1410.0, 52.66, -0.21, 0.13, 393.0
3.2, -7.4, -2.6271746045683875, -540.0, 62.03, -0.16, 0.05, 367.0
2.12, -6.19, 16.839225727835224, -2700.0, 67.84, 0.24, 0.18, 333.0
-3.37, -4.12, 19.13458484555672, -2730.0, 68.02, 0.17, 0.12, 281.0
-7.49, -3.76, 7.281990098388951, -1350.0, 69.91, 0.15, 0.15, 257.0
-11.96, -2.01, 7.755450231825188, -1230.0, 71.61, 0.14, 0.13, 236.0
-11.96, -1.68, 4.461916643370884, -810.0, 74.76, -0.03, 0.14, 218.0
-11.51, -1.59, 7.921041292544283, -1260.0, 75.3, 0.03, 0.13, 199.0
-13.55, 0.7, 11.288645730718796, -1380.0, 74.16, 0.1, 0.27, 182.0
-7.21, -3.77, -6.644051371270668, 360.0, 70.9, -0.26, 0.03, 168.0
-5.32, -3.3, -5.585092034553025, 330.0, 81.73, 0.15, -0.04, 148.0
-5.04, -2.0, 8.134126188832928, -1470.0, 82.5, 0.01, 0.11, 130.0
0.53, -0.32, 7.687752702255954, -1140.0, 80.81, 0.28, 0.04, 115.0
-1.85, -1.29, 2.303562339313409, -510.0, 80.35, 0.14, 0.04, 103.0
-3.02, -1.09, 2.917998287705461, -570.0, 80.53, -0.17, 0.06, 92.0
-1.63, 0.41, 7.074047434562227, -960.0, 81.69, 0.23, 0.0, 79.0
-1.46, 1.21, 10.546611729905461, -1290.0, 78.52, 0.13, 0.08, 71.0
-2.69, 2.83, 9.491808300628444, -900.0, 76.61, 0.03, 0.12, 65.0
-3.41, 3.63, -0.5247656189572227, 570.0, 77.69, -0.01, 0.09, 63.0
