#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
0.01, -3.33, 2.587221782374302, -660.0, 60.79, 0.01, -0.01, 1458.0
0.9, -3.26, 2.8889383196675844, -690.0, 61.35, 0.02, -0.01, 1447.0
0.74, -3.21, 2.879074571679066, -690.0, 62.24, 0.02, -0.0, 1436.0
2.37, -2.74, 3.0700536784382804, -660.0, 62.45, 0.05, -0.01, 1403.0
2.08, -1.61, 3.3778533236940893, -570.0, 62.96, 0.08, -0.01, 1393.0
1.54, 1.19, 5.651689226962905, -510.0, 62.96, 0.12, -0.01, 1385.0
0.54, 3.72, 7.460364209058854, -420.0, 61.3, 0.1, -0.02, 1383.0
0.32, 6.78, 7.3252527082489385, -60.0, 59.42, 0.12, 0.01, 1384.0
0.33, 11.28, 7.405642013310775, 390.0, 51.9, 0.04, 0.02, 1411.0
-2.26, 11.05, 2.788179020761204, 780.0, 47.05, -0.08, -0.0, 1418.0
-5.41, 10.01, 3.922521451775144, 540.0, 42.31, -0.09, -0.02, 1377.0
-7.16, 8.7, 10.077004509445844, -120.0, 40.92, -0.09, -0.02, 1375.0
-8.49, 7.51, 12.215651109392745, -390.0, 37.54, -0.08, -0.0, 1370.0
-10.67, 5.65, 12.446076505325461, -540.0, 34.85, -0.09, -0.01, 1319.0
-12.26, 7.11, 14.514532940483544, -570.0, 32.87, 0.02, 0.0, 1307.0
-12.96, 7.89, 15.541183374325158, -570.0, 30.87, 0.01, -0.0, 1295.0
-14.49, 8.68, 18.88390810844077, -750.0, 30.2, 0.06, -0.0, 1285.0
-22.84, 1.54, 12.755940811073053, -900.0, 35.75, -0.07, -0.05, 1149.0
-28.22, -16.17, -4.439376234939854, -1020.0, 41.25, -0.36, -0.0, 1128.0
-21.71, -9.9, 4.0996227850958284, -1320.0, 47.45, 0.5, -0.1, 1095.0
-16.71, -8.06, 6.370726377497908, -1440.0, 51.99, 0.24, -0.1, 1089.0
-9.43, -4.98, 5.948287356437628, -1200.0, 59.77, 0.25, -0.06, 1070.0
-2.68, -1.15, 6.339079880531374, -870.0, 64.64, 0.3, -0.11, 1098.0
1.65, 1.23, 6.734979296059809, -660.0, 67.53, 0.15, -0.06, 1089.0
2.0, 2.88, 7.296061262818136, -540.0, 69.41, 0.16, 0.05, 1138.0
3.03, 4.03, 3.538912710913885, 60.0, 69.23, 0.09, 0.02, 1142.0
2.4, 4.46, -1.0830324737148436, 690.0, 70.54, 0.04, -0.0, 1148.0
2.04, 2.66, -2.5545885860613557, 660.0, 71.71, -0.13, 0.01, 1175.0
1.9, 0.87, -2.4026983044098063, 420.0, 72.65, -0.16, 0.02, 1180.0
1.81, 0.26, -0.4250856058804433, 90.0, 74.33, -0.06, -0.01, 1231.0
0.51, 0.76, 2.0913930095732542, -180.0, 76.5, 0.02, 0.01, 1229.0
0.01, 2.44, 3.313617650256046, -120.0, 77.72, 0.14, 0.01, 1238.0
