#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-0.03, 1.1, 1.1, 0.0, 103.92, 0.01, -0.04, 1295.0
0.59, 0.27, -0.05504450939297606, 60.0, 104.44, -0.03, 0.01, 1299.0
-0.52, -0.36, -1.499142562627969, 210.0, 104.31, -0.05, -0.01, 1301.0
-0.54, -0.1, -0.4253872227086466, 60.0, 104.33, -0.13, 0.0, 1302.0
1.12, 0.71, 2.4992250182642683, -330.0, 104.37, 0.05, -0.05, 1297.0
0.64, 0.66, 1.2993252529814256, -120.0, 106.2, 0.03, -0.0, 1294.0
-0.89, 0.89, 1.0474413745834903, -30.0, 107.81, 0.06, -0.02, 1294.0
0.77, 0.07, 0.5414106111620796, -90.0, 108.02, 0.09, 0.03, 1290.0
0.89, -0.23, -0.844946440201153, 120.0, 110.41, -0.09, 0.19, 1291.0
-2.01, -0.25, 7.1296060445138725, -1440.0, 110.71, -0.12, 0.07, 1292.0
7.56, -0.26, 13.922701584365115, -2670.0, 107.61, 0.11, 0.29, 1288.0
8.17, 1.02, -9.917401799545445, 1980.0, 103.05, 0.03, 0.07, 1288.0
-5.24, 1.76, -18.839002774722633, 3990.0, 111.99, 0.31, -0.44, 1289.0
-12.13, 0.25, -4.036818364671791, 840.0, 110.97, -0.03, -0.14, 1299.0
-17.82, -1.44, 0.26117975244088965, -330.0, 109.77, 0.18, -0.32, 1303.0
-17.37, 1.04, 17.956155094554813, -3210.0, 108.94, -0.26, 0.16, 1302.0
-1.46, 1.69, 26.97298925115055, -4200.0, 97.11, 0.08, 0.26, 1300.0
4.72, -0.53, -1.4352068776845752, 150.0, 93.76, -0.08, 0.29, 1297.0
4.59, -2.09, -16.23836584901381, 2430.0, 98.17, -0.22, -0.03, 1290.0
3.94, -0.33, -2.992199667204174, 480.0, 102.05, 0.09, 0.03, 1282.0
5.04, -0.19, 3.8826484951546925, -720.0, 100.11, -0.06, 0.04, 1274.0
3.46, -0.2, 2.365381631002824, -450.0, 99.28, -0.07, -0.01, 1266.0
3.81, -0.68, 2.382239056806227, -540.0, 99.82, -0.01, 0.05, 1258.0
3.89, -0.29, 2.640456898847246, -510.0, 98.51, -0.02, 0.01, 1253.0
3.16, 0.78, 3.533743316650102, -480.0, 98.66, 0.11, 0.03, 1246.0
3.04, 1.4, 3.4520583262994595, -360.0, 99.28, 0.07, 0.02, 1241.0
1.96, 1.48, 2.002115292274298, -90.0, 97.53, 0.05, 0.01, 1239.0
0.9, 0.02, -1.0281432535491135, 180.0, 97.17, -0.01, 0.0, 1238.0
4.38, -0.38, 0.14056737152798882, -90.0, 97.82, 0.09, 0.04, 1235.0
4.09, 0.01, 2.107501299443532, -360.0, 97.13, -0.12, 0.04, 1231.0
-0.23, 2.02, 2.709795520696454, -120.0, 98.43, 0.08, -0.02, 1226.0
-1.42, 3.46, 3.6343580835214646, -30.0, 97.35, -0.0, 0.03, 1227.0
