#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-15.75, -1.26, 7.766870187458993, -1140.0, 71.75, 0.07, 0.03, 511.0
-20.71, -1.38, 2.9254332016454665, -540.0, 71.03, 0.08, 0.01, 503.0
-20.61, -1.58, 2.090391431794168, -450.0, 69.64, 0.1, -0.03, 497.0
-23.64, -2.09, 1.0589039083558531, -390.0, 70.11, 0.07, -0.06, 490.0
-27.09, -2.67, 1.4842929724529172, -510.0, 69.79, 0.15, -0.03, 485.0
-26.72, -2.8, 2.2503806157745423, -630.0, 70.67, 0.1, -0.03, 461.0
-26.85, -2.63, 2.4651983125919186, -630.0, 70.05, 0.14, -0.03, 462.0
-26.19, -3.09, 2.06078746719888, -630.0, 69.47, 0.12, -0.07, 450.0
-18.48, -2.86, 2.330216239437086, -630.0, 68.72, 0.08, -0.04, 440.0
-11.65, -1.72, 3.4391485206172785, -630.0, 69.31, 0.08, -0.05, 451.0
-7.6, -1.54, 3.1276004505812756, -570.0, 69.29, 0.04, -0.04, 441.0
-5.54, -1.89, 2.0393441027635912, -480.0, 69.29, 0.05, -0.05, 433.0
-6.76, -3.46, 0.45584932959850777, -480.0, 69.63, -0.06, -0.05, 478.0
-5.01, -4.38, 0.753110022101815, -630.0, 69.81, 0.01, -0.03, 469.0
-10.47, -4.28, 6.055833777973828, -1290.0, 71.0, 0.0, -0.04, 458.0
-10.0, -3.66, 16.875247772675777, -2430.0, 68.2, -0.11, 0.17, 442.0
-6.21, -1.79, 17.94541919579209, -2130.0, 59.46, 0.25, 0.15, 403.0
-8.83, -5.65, 1.4692570771888338, -780.0, 59.26, -0.25, 0.1, 389.0
-7.32, -5.77, 2.065115574422564, -900.0, 63.61, 0.01, 0.12, 336.0
-7.6, -7.25, 6.014486051668685, -1500.0, 62.7, -0.15, 0.11, 313.0
-5.91, -6.68, 7.308037358023402, -1590.0, 63.27, 0.02, 0.14, 285.0
-7.58, -6.49, 8.44275262309925, -1710.0, 64.09, 0.0, 0.16, 243.0
-7.05, -6.92, 5.523622984729659, -1440.0, 64.75, 0.01, 0.11, 221.0
-7.62, -5.47, 6.358821623972889, -1410.0, 67.51, 0.02, 0.18, 193.0
-10.93, -5.62, 11.312673427561236, -1980.0, 66.38, 0.0, 0.14, 171.0
-10.54, -5.06, 10.807830827747654, -1890.0, 67.99, -0.03, 0.14, 120.0
-9.66, -4.12, 7.500979215648024, -1380.0, 67.12, 0.04, 0.16, 100.0
-8.27, -3.38, 6.688099580032541, -1200.0, 67.31, 0.06, 0.13, 81.0
-8.15, -2.04, 6.280109973845717, -990.0, 66.99, 0.06, 0.16, 63.0
-7.81, -1.23, 5.103827512197412, -750.0, 66.38, 0.11, 0.13, 49.0
-6.51, -0.75, 5.585154061824159, -750.0, 66.36, 0.12, 0.1, 41.0
-8.47, 0.14, 5.855278524708051, -660.0, 63.97, -0.02, 0.12, 30.0
