#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
0.24, 1.81, 6.945820576529215, -600.0, 65.03, -0.03, 0.01, 917.0
0.34, 0.4, 9.600866549890682, -1080.0, 65.76, -0.07, 0.02, 907.0
-0.34, -0.54, 9.372083750040005, -1170.0, 66.36, -0.03, 0.02, 871.0
0.78, 1.48, 7.987183275994832, -780.0, 67.57, 0.09, 0.02, 858.0
-0.74, 1.8, 7.061643533952805, -630.0, 67.39, 0.0, 0.0, 860.0
-0.76, 2.31, 6.837487848756517, -540.0, 66.98, 0.0, -0.01, 848.0
-0.94, 3.48, 7.971575445962165, -540.0, 67.75, 0.03, -0.0, 859.0
-0.65, 4.21, 9.450495502757704, -630.0, 67.78, 0.09, 0.01, 849.0
-1.65, 4.16, 9.192296755851995, -600.0, 66.97, 0.05, 0.03, 861.0
-3.61, 4.89, 9.959695893598091, -600.0, 66.26, 0.06, 0.04, 844.0
-6.48, 5.53, 10.413568041577776, -570.0, 64.93, 0.01, 0.05, 861.0
-11.24, 5.57, 6.61440246386058, -120.0, 63.35, 0.0, 0.08, 856.0
-16.79, 4.05, 1.413519594396519, 300.0, 62.48, -0.0, -0.04, 850.0
-25.32, 4.24, 5.032499119340579, -90.0, 62.27, 0.16, -0.13, 842.0
-27.3, 5.68, 13.106885014426345, -840.0, 62.15, 0.03, -0.06, 796.0
-23.15, 6.76, 17.494551165510998, -1170.0, 59.09, 0.03, 0.08, 809.0
-19.97, 6.86, 15.466217506764032, -900.0, 55.32, 0.07, 0.04, 795.0
-16.12, 1.68, 5.152586133249372, -360.0, 54.32, -0.19, 0.01, 784.0
-13.95, -2.81, 2.5226212358221924, -600.0, 61.55, -0.09, -0.01, 756.0
-13.92, -3.75, 7.375880889251231, -1260.0, 62.59, -0.07, -0.01, 775.0
-15.95, -2.34, 12.167995487960997, -1680.0, 65.08, -0.04, 0.1, 753.0
-22.04, -1.46, 12.032124149986412, -1560.0, 64.8, 0.09, 0.06, 736.0
-22.05, -1.9, 5.073345643015761, -840.0, 68.08, 0.24, 0.04, 714.0
-26.27, -2.98, 1.3230054271240212, -540.0, 71.07, 0.07, 0.01, 696.0
-24.91, -1.55, 4.496736072954203, -780.0, 73.12, 0.16, -0.0, 645.0
-25.24, 2.27, 9.774000276799741, -960.0, 72.59, 0.31, 0.0, 632.0
-28.23, 4.02, 10.742505262786011, -840.0, 70.86, 0.19, 0.04, 598.0
-29.86, 6.33, 10.250998127824332, -480.0, 69.5, 0.21, 0.05, 595.0
-32.86, 5.04, 5.2889190002587485, -30.0, 67.89, 0.08, 0.03, 594.0
-32.41, 2.14, 0.6507559593468872, 180.0, 68.18, 0.15, -0.04, 574.0
-31.73, 0.19, 0.9247077655549434, -90.0, 69.49, 0.13, -0.07, 567.0
-28.38, 0.3, 3.9995309923173084, -450.0, 68.86, 0.13, -0.04, 560.0
