#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-14.32, 5.59, 6.707351839986879, -150.0, 75.96, 0.04, 0.02, 629.0
-12.51, 5.28, 5.0496596694992855, 30.0, 73.69, -0.01, -0.0, 630.0
-8.75, 5.06, 4.591107107759987, 60.0, 72.4, 0.04, 0.01, 632.0
-10.31, 3.13, 4.323067185603767, -150.0, 71.14, -0.11, 0.01, 630.0
-12.18, 1.55, 4.248666688803601, -330.0, 69.35, -0.13, -0.0, 627.0
-11.87, 1.82, 7.0400528351166445, -630.0, 68.16, -0.1, 0.01, 619.0
-11.11, 1.42, 7.78046472236667, -750.0, 65.98, -0.05, 0.01, 616.0
-8.47, 0.8, 6.310674772024402, -660.0, 67.43, -0.04, -0.0, 603.0
-11.38, 1.38, 8.519864067617846, -870.0, 69.22, -0.04, -0.04, 580.0
-7.02, 2.75, 11.455819128253507, -1080.0, 70.46, 0.03, 0.01, 580.0
-8.38, 2.44, 17.5369227635873, -1800.0, 67.97, -0.01, -0.03, 562.0
-4.05, 0.31, 13.650004077898204, -1590.0, 67.69, 0.05, -0.02, 529.0
-4.45, -0.66, 6.008901031191818, -810.0, 68.87, 0.12, -0.03, 511.0
-6.71, -1.32, 7.510833668102956, -1110.0, 71.4, -0.09, -0.02, 490.0
-5.2, -2.45, 13.341197325646544, -1949.9999999999966, 70.76, -0.13, 0.01, 471.0
-10.15, -0.43, 17.469795893585726, -2249.9999999999964, 72.29, 0.05, -0.0, 427.0
-13.04, -0.65, 16.45480536456215, -2070.0, 69.76, 0.02, 0.03, 411.0
-15.0, -0.27, 12.005808944981593, -1530.0, 71.06, 0.04, 0.03, 376.0
-19.13, 0.44, 8.198195527955406, -990.0, 72.42, 0.06, 0.03, 361.0
-19.78, 0.35, 7.886370501520452, -960.0, 72.28, 0.06, 0.03, 345.0
-19.13, -0.16, 9.093474476486254, -1170.0, 71.85, 0.1, 0.05, 328.0
-23.49, 0.47, 11.03159633038849, -1290.0, 69.76, 0.01, 0.04, 302.0
-24.53, -0.18, 7.569918242385026, -960.0, 70.3, 0.14, 0.02, 285.0
-26.09, -1.85, 4.2698244688822875, -780.0, 72.25, 0.11, -0.04, 269.0
-22.45, -0.98, 5.233672159914832, -810.0, 73.9, 0.08, 0.03, 254.0
-22.12, -0.33, 6.713277384725314, -900.0, 72.48, 0.09, 0.02, 239.0
-24.11, -0.45, 3.8830005689447695, -570.0, 74.5, 0.29, 0.0, 219.0
-26.13, 0.01, 1.284090482614835, -180.0, 79.94, 0.26, -0.02, 212.0
-17.84, 1.41, 1.1990932956629299, 30.0, 80.48, 0.15, -0.05, 204.0
-10.33, 5.61, 5.397801324714148, 30.0, 79.99, 0.08, -0.05, 210.0
-4.95, 5.14, 5.791263540518512, -90.0, 78.19, 0.0, -0.01, 206.0
-1.63, 4.41, 5.97007372137588, -210.0, 76.17, 0.0, -0.02, 205.0
