#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-0.31, 5.87, 5.634187536082257, 30.0, 71.98, 0.03, -0.02, 1262.0
0.74, 5.95, 6.89093659737497, -120.0, 72.16, 0.02, 0.03, 1262.0
-0.43, 6.38, 6.38, 0.0, 71.08, 0.12, 0.02, 1245.0
-0.07, 6.7, 4.741638176556595, 240.0, 69.55, -0.08, 0.02, 1249.0
-1.6, 6.91, 3.9803244543424543, 360.0, 69.84, 0.06, -0.06, 1252.0
-3.6, 6.69, 5.943454126675829, 90.0, 67.92, -0.02, -0.02, 1230.0
-7.45, 6.32, 7.323553232318096, -120.0, 67.13, -0.05, 0.04, 1263.0
-10.85, 3.79, 5.318359738817757, -180.0, 65.68, -0.16, 0.05, 1262.0
-12.95, 2.6, 6.7542031817845505, -480.0, 63.95, -0.14, 0.06, 1230.0
-11.91, 2.02, 10.304036985107778, -960.0, 64.47, -0.08, 0.06, 1220.0
-9.8, 2.43, 14.007724203567394, -1290.0, 61.15, -0.07, 0.1, 1209.0
-8.44, 0.54, 12.144464713201824, -1260.0, 58.84, 0.04, 0.1, 1216.0
-11.67, 0.76, 10.654500620840757, -1080.0, 59.14, -0.16, 0.2, 1205.0
-13.66, -4.78, -1.8956719473433687, -300.0, 54.58, -0.55, 0.05, 1192.0
-13.24, -9.64, -0.5424842435900921, -1020.0, 61.48, -0.36, 0.05, 1151.0
-11.78, -8.17, 17.97426342445631, -2880.0, 62.68, 0.02, 0.17, 1111.0
-8.84, -6.27, 17.875779328538663, -2640.0, 61.52, 0.06, 0.12, 1087.0
-7.9, -3.89, 11.853563765017592, -1890.0, 68.74, 0.15, 0.2, 1050.0
-10.15, -1.29, 11.377520960389685, -1500.0, 66.97, 0.01, 0.18, 1025.0
-8.84, -0.99, 8.073669076252727, -1080.0, 67.19, -0.08, 0.15, 965.0
-6.86, -0.35, 9.451386187807302, -1230.0, 71.35, 0.11, 0.24, 942.0
-5.99, -0.92, 9.25838765373089, -1260.0, 70.41, 0.02, 0.17, 923.0
-7.06, 0.19, 11.089415351882751, -1380.0, 72.07, 0.07, 0.2, 923.0
-10.01, 0.27, 10.603248352405913, -1260.0, 69.57, -0.04, 0.18, 861.0
-9.93, -0.09, 6.556508574450497, -810.0, 69.2, 0.01, 0.17, 842.0
-8.15, -0.57, 7.538638589536312, -1020.0, 71.41, 0.0, 0.17, 800.0
-5.1, -1.47, 9.398857008765647, -1320.0, 69.23, 0.0, 0.18, 776.0
-10.51, 0.02, 11.697452960577442, -1410.0, 68.75, 0.01, 0.21, 755.0
-9.4, 0.81, 9.89830760196499, -1080.0, 66.93, 0.18, 0.2, 761.0
-6.36, -0.98, 5.733452649238824, -810.0, 68.22, -0.06, 0.11, 744.0
-1.44, 0.02, 7.679296834467812, -930.0, 68.91, 0.16, 0.22, 760.0
-0.78, -0.99, 5.269771114377299, -750.0, 67.51, -0.06, 0.15, 762.0
