#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-0.19, -2.9, 6.83937486978194, -1110.0, 63.04, 0.11, 0.0, 4113.0
0.44, 0.33, 8.54703503485458, -930.0, 62.27, 0.15, 0.0, 4100.0
0.44, 2.96, 8.04318196615781, -570.0, 61.23, 0.15, 0.01, 4094.0
0.47, 4.84, 7.022978254587324, -240.0, 59.36, 0.09, 0.02, 4091.0
0.36, 5.64, 5.64, 0.0, 57.56, 0.02, -0.0, 4093.0
0.52, 6.48, 5.909943132913384, 60.0, 55.55, 0.01, 0.0, 4093.0
0.57, 7.32, 6.732825849423494, 60.0, 53.07, -0.01, 0.03, 4094.0
0.42, 7.87, 7.265177235510325, 60.0, 50.66, -0.01, 0.01, 4094.0
0.48, 8.5, 7.873939289922092, 60.0, 47.94, -0.03, 0.01, 4094.0
0.38, 8.62, 8.294450515667409, 30.0, 44.96, -0.06, -0.0, 4092.0
0.08, 8.87, 9.203611689365736, -30.0, 43.16, -0.07, 0.01, 4088.0
-0.04, 9.59, 11.290104577710403, -150.0, 41.8, -0.05, 0.01, 4084.0
0.04, 9.55, 12.781729161921039, -270.0, 38.04, -0.06, 0.01, 4078.0
-0.31, 9.77, 14.29762217497571, -360.0, 34.81, -0.04, 0.01, 4071.0
-0.57, 9.42, 15.197278267003586, -450.0, 33.54, -0.06, 0.0, 4063.0
-0.81, 9.12, 16.531700192738384, -570.0, 32.81, -0.03, 0.0, 4053.0
-1.11, 8.49, 19.241231902438365, -810.0, 31.73, -0.13, -0.0, 4044.0
-3.16, -0.79, 11.643738189015785, -990.0, 35.34, -0.24, 0.01, 4030.0
0.48, 7.04, 18.15144975620875, -870.0, 34.16, 0.35, 0.03, 4016.0
0.87, 4.86, 14.783732783797355, -810.0, 36.78, 0.07, -0.07, 4008.0
0.98, 2.87, 10.926330601965514, -750.0, 45.97, -0.04, -0.01, 4003.0
0.67, 2.25, 8.18972219047842, -570.0, 48.18, 0.01, 0.03, 3994.0
1.02, 2.87, 7.145469930009118, -420.0, 49.95, 0.06, 0.0, 3987.0
0.56, 2.53, 4.609442539113639, -210.0, 52.12, 0.01, 0.0, 3986.0
-0.54, 2.37, 4.332794824036072, -210.0, 56.97, 0.09, 0.02, 3981.0
-1.24, 3.35, 3.9038460746717742, -60.0, 58.04, 0.08, 0.02, 3980.0
-0.12, 5.28, 2.836096864360155, 270.0, 59.8, 0.11, -0.03, 3982.0
0.37, 5.46, 3.0477128769339283, 270.0, 60.97, 0.02, 0.0, 3992.0
1.08, 6.13, 3.976353870603693, 240.0, 60.57, 0.04, 0.01, 3999.0
1.21, 6.65, 2.5928264781687327, 450.0, 60.2, 0.01, 0.01, 4009.0
2.25, 7.03, 1.6223463229586326, 600.0, 60.29, -0.0, -0.0, 4018.0
1.81, 7.04, 1.8890987722674408, 570.0, 60.04, -0.01, -0.0, 4027.0
