#Roll, Pitch, AOASimple, VSpd Calculated, IAS, NormAc, LatAc, AltAGL
-10.31, -1.34, 3.1588098868590313, -660.0, 83.09, -0.13, 0.07, 593.0
-20.1, -0.4, 6.121439321333225, -930.0, 80.86, -0.14, 0.09, 588.0
-25.62, 0.3, 8.010437062896754, -1080.0, 79.49, -0.04, 0.06, 575.0
-26.64, 1.37, 6.901263960055896, -780.0, 79.91, 0.14, 0.06, 561.0
-27.97, 0.46, 2.9698540906214634, -360.0, 81.18, 0.13, 0.0, 550.0
-31.95, 1.21, 6.092833914289727, -720.0, 83.53, 0.14, 0.03, 538.0
-32.53, 2.97, 10.571721450324436, -1080.0, 80.62, 0.26, 0.05, 527.0
-34.66, 1.53, 5.637627338118608, -570.0, 78.58, 0.15, 0.04, 516.0
-29.33, -1.86, -2.4956540294440854, 90.0, 80.11, 0.08, -0.02, 507.0
-20.9, -4.47, -3.0313968794898365, -210.0, 82.6, -0.01, -0.08, 491.0
-13.52, -4.2, 3.6359813198866364, -1140.0, 82.57, 0.04, -0.02, 471.0
-11.14, -3.63, 5.94922991718584, -1410.0, 83.67, 0.08, -0.04, 450.0
-5.78, -3.16, 3.5822602641817793, -990.0, 83.27, 0.05, -0.05, 432.0
-2.27, -1.88, 4.71350976680811, -990.0, 85.14, 0.05, -0.03, 419.0
-5.19, -0.09, 10.043809775969061, -1530.0, 85.87, 0.17, 0.05, 405.0
-9.21, 0.8, 15.519673311653058, -2130.0, 82.78, 0.04, 0.07, 397.0
-8.64, 3.78, 20.914714635890185, -2280.0, 76.42, -0.0, 0.25, 389.0
-8.15, 1.52, 9.629428477196821, -990.0, 69.48, -0.21, 0.17, 380.0
-9.99, -2.77, 2.463616850751594, -660.0, 71.45, -0.29, 0.15, 366.0
-10.45, -2.12, 9.709373728110052, -1440.0, 69.57, -0.04, 0.2, 342.0
-12.14, -1.83, 11.012881754723187, -1620.0, 71.97, 0.05, 0.16, 320.0
-6.58, -0.31, 12.357124995419893, -1560.0, 70.25, 0.25, 0.15, 291.0
-6.02, -1.88, 9.706422523019423, -1440.0, 70.8, -0.06, 0.19, 271.0
-7.58, 0.92, 11.88892063920025, -1320.0, 68.34, 0.06, 0.19, 250.0
-8.36, 0.54, 8.178220078888632, -930.0, 69.18, 0.02, 0.21, 235.0
-13.22, 2.09, 11.454630294220815, -1140.0, 69.31, 0.05, 0.19, 217.0
-14.92, 2.09, 11.095095649392253, -1050.0, 65.11, 0.11, 0.15, 202.0
-12.03, 0.88, 3.600418835560806, -330.0, 68.56, -0.11, 0.14, 190.0
-7.53, 1.43, 6.978555805184884, -690.0, 70.47, 0.1, 0.21, 177.0
-12.78, 2.38, 12.139927480049874, -1170.0, 67.84, 0.06, 0.2, 167.0
-10.87, 1.77, 7.631718143585019, -720.0, 69.93, -0.15, 0.21, 152.0
-11.03, 3.74, 10.61286248435905, -840.0, 69.5, 0.11, 0.17, 139.0
