#airframe_info, log_version="1.00", airframe_name="Cessna 172S", unit_software_part_number="006-B0319-81", unit_software_version="10.01", system_software_part_number="006-B0563-21", system_id="24B6FD7AC", mode=NORMAL, 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,    rpm,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 RPM, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2011-08-12, 09:59:07,  -05:00,       ,   47.8413467,  -96.6191635,   861.5, 29.83,   893.9,  23.8,   0.00,   0.00,   15.68,   2.66,  -0.08,  -0.01,  -0.01,  37.1, 266.8,  27.8,  27.8,   4.0,   0.4,  17.94,  21.14,     2.30,  159.11,   59.52, 1036.8,  205.51,  232.22,  224.50,  236.29, 1038.52, 1039.23, 1011.23, 1055.27,   804.9,   0,  GPS,   60.9, 116.20, 114.30, 122.700, 124.575,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     36,  35.5,     52
2011-08-12, 09:59:07,  -05:00,       ,   47.8413467,  -96.6191635,   861.5, 29.83,   893.9,  23.8,   0.00,   0.00,   15.68,   2.64,  -0.11,  -0.01,  -0.01,  37.1, 266.8,  27.8,  27.8,   4.0,   0.4,  17.94,  21.14,     2.30,  159.10,   59.53, 1036.1,  205.32,  232.07,  224.43,  236.09, 1038.53, 1039.05, 1011.31, 1054.96,   804.9,   0,  GPS,   60.9, 116.20, 114.30, 122.700, 124.575,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     36,  35.5,     52
2011-08-12, 09:59:08,  -05:00,       ,   47.8413467,  -96.6191635,   860.5, 29.83,   894.0,  23.8,   0.00,   0.00,    1.23,   2.65,  -0.09,  -0.01,   0.01,  37.1, 266.8,  27.8,  27.8,   3.8,   0.4,  17.94,  21.09,     2.29,  159.08,   59.49, 1040.2,  205.15,  231.96,  224.22,  235.99, 1038.08, 1038.75, 1012.60, 1054.16,   805.0,   0,  GPS,   60.9, 116.20, 114.30, 122.700, 124.575,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     36,  35.5,     52
2011-08-12, 09:59:09,  -05:00,       ,   47.8413467,  -96.6191635,   860.5, 29.83,   894.0,  23.8,   0.00,   0.00,  -14.66,   2.63,  -0.10,   0.02,  -0.02,  37.2, 266.8,  27.8,  27.8,   3.9,   0.4,  17.94,  21.14,     2.29,  159.04,   59.71, 1042.6,  205.41,  232.27,  224.47,  236.33, 1037.80, 1038.93, 1015.66, 1053.75,   805.1,   0,  GPS,   60.9, 116.20, 114.30, 122.700, 124.575,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     36,  35.5,     52
2011-08-12, 09:59:10,  -05:00,       ,   47.8413467,  -96.6191635,   860.5, 29.83,   894.0,  23.8,   0.00,   0.00,   -1.18,   2.67,  -0.11,   0.01,   0.05,  37.0, 266.8,  27.8,  27.8,   3.9,   0.4,  17.94,  21.09,     2.34,  159.01,   59.44, 1041.9,  205.72,  232.66,  224.80,  236.70, 1037.20, 1039.63, 1017.87, 1053.89,   805.1,   0,  GPS,   60.9, 116.20, 114.30, 122.700, 124.575,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     36,  35.5,     52
2011-08-12, 09:59:11,  -05:00,       ,   47.8413467,  -96.6191635,   861.5, 29.83,   893.8,  23.8,   0.00,   0.00,   14.61,   2.64,  -0.09,  -0.00,  -0.01,  37.0, 266.8,  27.8,  27.8,   3.8,   0.4,  17.94,  21.09,     2.30,  158.98,   59.44, 1038.2,  206.05,  233.04,  225.13,  237.10, 1036.28, 1041.20, 1020.28, 1054.62,   804.8,   0,  GPS,   60.9, 116.20, 114.30, 122.700, 124.575,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     36,  35.5,     52
2011-08-12, 09:59:13,  -05:00,       ,   47.8413467,  -96.6191635,   861.5, 29.83,   893.9,  23.8,   0.00,   0.00,   15.96,   2.65,  -0.07,   0.00,  -0.00,  37.1, 266.8,  27.8,  27.8,   3.7,   0.4,  17.94,  21.09,     2.33,  158.94,   60.07, 1051.3,  206.55,  233.52,  225.59,  237.68, 1036.11, 1042.82, 1021.48, 1055.57,   804.9,   0,  GPS,   60.9, 116.20, 114.30, 122.700, 124.575,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     36,  35.5,     52
2011-08-12, 09:59:14,  -05:00,       ,   47.8413467,  -96.6191559,   861.5, 29.83,   893.5,  23.8,   0.00,   0.00,   16.00,   2.59,  -0.08,   0.01,  -0.00,  37.1, 266.8,  27.8,  27.8,   3.7,   0.4,  17.92,  21.09,     2.36,  158.91,   60.72, 1101.2,  206.91,  233.95,  225.95,  238.11, 1036.01, 1044.61, 1021.86, 1058.26,   804.5,   0,  GPS,   60.9, 116.20, 114.30, 122.700, 124.575,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     36,  35.5,     52
2011-08-12, 09:59:15,  -05:00,       ,   47.8413506,  -96.6191559,   861.5, 29.83,   893.5,  23.8,   0.00,   0.00,   13.39,   2.57,  -0.09,  -0.01,  -0.00,  37.1, 266.8,  27.8,  27.8,   3.7,   0.4,  17.94,  21.09,     2.33,  158.87,   60.99, 1124.3,  207.25,  234.33,  226.25,  238.50, 1038.22, 1048.63, 1023.78, 1061.63,   804.5,   0,  GPS,   60.9, 116.20, 114.30, 122.700, 124.575,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     36,  35.5,     52
2011-08-12, 09:59:16,  -05:00,       ,   47.8413506,  -96.6191559,   861.5, 29.83,   893.5,  23.8,   0.00,   0.00,    3.84,   2.56,  -0.08,   0.01,  -0.00,  37.2, 266.8,  27.8,  27.8,   3.8,   0.4,  17.92,  21.09,     2.34,  158.83,   61.07, 1134.8,  207.57,  234.73,  226.61,  238.89, 1042.89, 1054.33, 1027.03, 1065.20,   804.5,   0,  GPS,   60.9, 116.20, 114.30, 122.700, 124.575,       ,       ,       ,      ,       ,       ,    3.2,       ,      ,       ,      ,      ,   0.0, 3DDiff, 3704,      ,     36,  35.5,     52
